index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
37431,SATISFACTORY,2022-02-11 04:31:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,86.0,0.0,72.3,14.98,0.0,35.36,0.59,0.0,17.28,0.3,74.2,0.0,68.63,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37476,SATISFACTORY,2022-02-11 04:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,78.82,11.41,0.0,27.57,0.57,0.0,17.25,0.3,73.95,0.0,68.57,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37513,SATISFACTORY,2022-02-11 05:01:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,84.85,12.14,0.0,25.66,0.55,0.0,17.17,0.31,74.27,0.0,68.09,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37560,SATISFACTORY,2022-02-11 05:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,83.84,11.79,0.0,26.34,0.51,0.0,17.06,0.31,75.69,0.0,67.56,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37596,SATISFACTORY,2022-02-11 05:31:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,80.25,20.09,0.0,35.54,0.55,0.0,17.1,0.35,76.77,0.0,66.86,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37641,SATISFACTORY,2022-02-11 05:46:27+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,76.94,22.05,0.0,39.09,0.71,0.0,17.35,0.37,77.49,0.0,65.8,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37679,SATISFACTORY,2022-02-11 06:01:26+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,75.29,17.55,0.0,37.61,0.85,0.0,17.67,0.36,78.03,0.0,65.45,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37724,SATISFACTORY,2022-02-11 06:16:27+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,74.34,17.2,0.0,40.89,0.93,0.0,17.89,0.38,79.01,0.0,65.21,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37767,SATISFACTORY,2022-02-11 06:31:27+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,68.0,0.0,75.14,15.59,0.0,41.12,1.04,0.0,17.89,0.51,80.12,0.0,64.91,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
37806,SATISFACTORY,2022-02-11 06:46:27+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02f7e7ee-29d6-c1c1-4d98-8f74981d9683,71.0,0.0,75.03,17.28,0.0,46.08,1.21,0.0,17.75,4.58,80.77,0.0,65.28,1.69,73.903601,18.539217,ABC_Farm_House_Junction_4
