index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
14,POOR,2022-01-31 23:31:27+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,276.0,0.0,5.52,117.55,673.88,337.17,1.5,153.33,19.54,2.56,72.47,0.78,66.92,0.94,73.873166,18.552553,Ambedkar society circle_29
50,POOR,2022-01-31 23:46:27+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,274.0,0.0,4.63,120.01,666.96,341.7,1.52,152.32,19.24,2.58,73.23,0.64,67.85,0.94,73.873166,18.552553,Ambedkar society circle_29
85,POOR,2022-02-01 00:01:26+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,274.0,0.0,5.21,113.05,651.12,325.86,1.41,150.96,18.91,2.58,74.36,0.38,68.7,0.94,73.873166,18.552553,Ambedkar society circle_29
130,POOR,2022-02-01 00:16:30+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,274.0,0.0,4.72,107.63,645.13,310.14,1.41,150.94,18.73,2.53,73.03,0.35,68.91,0.94,73.873166,18.552553,Ambedkar society circle_29
165,POOR,2022-02-01 00:31:28+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,274.0,0.0,8.02,110.79,632.92,315.35,1.31,146.8,18.66,2.5,70.83,0.32,69.11,0.94,73.873166,18.552553,Ambedkar society circle_29
200,POOR,2022-02-01 00:46:27+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,272.0,0.0,12.33,115.45,588.41,319.1,1.18,140.47,18.54,2.48,69.38,0.15,70.61,0.94,73.873166,18.552553,Ambedkar society circle_29
244,POOR,2022-02-01 01:01:27+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,272.0,0.0,12.61,120.76,544.14,325.02,1.15,139.87,18.36,2.45,70.1,0.01,71.79,0.94,73.873166,18.552553,Ambedkar society circle_29
278,POOR,2022-02-01 01:16:27+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,272.0,0.0,11.39,128.25,524.71,342.11,1.13,141.3,18.22,2.45,70.9,0.0,71.77,0.94,73.873166,18.552553,Ambedkar society circle_29
316,POOR,2022-02-01 01:31:28+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,272.0,0.0,10.82,132.2,511.76,349.55,1.12,141.53,18.0,2.46,71.17,0.0,72.03,0.94,73.873166,18.552553,Ambedkar society circle_29
357,POOR,2022-02-01 01:46:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,271.0,0.0,11.32,134.87,476.19,361.25,1.15,140.4,17.73,2.47,71.51,0.0,72.9,0.94,73.873166,18.552553,Ambedkar society circle_29
