index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
23,MODERATE,2022-01-31 23:31:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,115.0,0.0,47.95,0.0,0.0,0.0,1.13,58.51,23.08,1.31,70.28,0.0,57.15,0.94,73.853826,18.51638,Appa_Balwant_Square_30
60,MODERATE,2022-01-31 23:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,114.0,0.0,50.3,0.0,0.0,0.0,1.09,54.23,22.76,1.26,69.96,0.0,57.85,0.94,73.853826,18.51638,Appa_Balwant_Square_30
98,MODERATE,2022-02-01 00:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,114.0,0.0,51.66,0.0,0.0,0.0,1.02,51.82,22.48,1.26,68.73,0.0,58.37,0.94,73.853826,18.51638,Appa_Balwant_Square_30
133,MODERATE,2022-02-01 00:16:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,114.0,0.0,54.12,0.0,0.0,0.0,0.88,48.15,22.22,1.21,68.58,0.0,58.89,0.94,73.853826,18.51638,Appa_Balwant_Square_30
173,MODERATE,2022-02-01 00:31:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,114.0,0.0,58.42,0.0,0.0,0.0,0.79,43.22,21.93,1.26,69.28,0.0,59.55,0.94,73.853826,18.51638,Appa_Balwant_Square_30
209,MODERATE,2022-02-01 00:46:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,111.0,0.0,58.76,0.0,0.0,0.0,0.77,40.39,21.71,1.23,67.87,0.0,60.23,0.94,73.853826,18.51638,Appa_Balwant_Square_30
248,MODERATE,2022-02-01 01:01:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,111.0,0.0,58.82,0.0,0.0,0.0,0.69,38.04,21.58,1.13,65.6,0.0,60.69,0.94,73.853826,18.51638,Appa_Balwant_Square_30
290,MODERATE,2022-02-01 01:16:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,111.0,0.0,62.09,0.0,0.0,0.0,0.56,34.51,21.4,1.17,66.08,0.0,61.14,0.94,73.853826,18.51638,Appa_Balwant_Square_30
325,MODERATE,2022-02-01 01:31:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,111.0,0.0,66.33,0.0,0.0,0.0,0.48,29.52,21.12,1.14,66.18,0.0,61.89,0.94,73.853826,18.51638,Appa_Balwant_Square_30
365,MODERATE,2022-02-01 01:46:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/169af06f-bfee-3513-56e5-b9ddd7b863f0,108.0,0.0,71.6,0.0,0.0,0.0,0.42,24.93,20.81,1.09,65.01,0.0,62.62,0.94,73.853826,18.51638,Appa_Balwant_Square_30
