index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2193,SATISFACTORY,2022-02-01 14:16:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,70.0,0.44,82.4,22.79,237.0,70.47,0.26,6.84,31.82,3638.87,80.35,0.0,32.89,0.93,73.881,18.572668,BRTS Visharant wadi_38
2233,SATISFACTORY,2022-02-01 14:31:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,70.0,0.54,74.13,22.46,241.88,64.07,0.43,15.32,32.26,3610.41,80.19,0.0,31.98,0.93,73.881,18.572668,BRTS Visharant wadi_38
2270,SATISFACTORY,2022-02-01 14:46:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,72.0,0.64,78.03,21.45,244.53,54.81,0.52,18.2,33.07,3515.22,79.76,0.0,30.46,0.93,73.881,18.572668,BRTS Visharant wadi_38
2305,SATISFACTORY,2022-02-01 15:01:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,72.0,0.49,87.13,18.87,244.32,46.28,0.46,13.74,33.23,3458.93,79.6,0.0,29.72,0.93,73.881,18.572668,BRTS Visharant wadi_38
2343,SATISFACTORY,2022-02-01 15:16:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,72.0,0.29,82.61,17.33,245.67,39.57,0.43,14.86,33.0,3392.05,79.94,0.0,29.71,0.93,73.881,18.572668,BRTS Visharant wadi_38
2381,SATISFACTORY,2022-02-01 15:31:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,69.0,0.22,82.69,19.04,244.3,44.15,0.34,12.89,32.9,3261.38,80.71,0.0,29.68,0.93,73.881,18.572668,BRTS Visharant wadi_38
2421,SATISFACTORY,2022-02-01 15:46:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,69.0,0.2,82.24,20.75,242.88,49.68,0.31,13.34,32.63,3122.77,80.33,0.0,29.43,0.93,73.881,18.572668,BRTS Visharant wadi_38
2459,SATISFACTORY,2022-02-01 16:01:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,69.0,0.17,71.19,18.55,245.58,47.33,0.42,19.51,32.47,2909.22,79.47,0.0,28.64,0.93,73.881,18.572668,BRTS Visharant wadi_38
2502,SATISFACTORY,2022-02-01 16:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,69.0,0.15,69.01,16.58,248.18,39.89,0.4,21.57,32.47,2706.61,79.43,0.0,28.54,0.93,73.881,18.572668,BRTS Visharant wadi_38
2542,SATISFACTORY,2022-02-01 16:31:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c84ae0f-dcca-fd9b-1f09-bc0f0e092b63,69.0,0.13,72.97,23.11,247.49,63.7,0.32,23.22,32.43,2518.53,79.59,0.0,29.78,0.93,73.881,18.572668,BRTS Visharant wadi_38
