index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
3900,SATISFACTORY,2022-02-02 00:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,96.0,0.0,16.18,44.83,481.75,79.44,0.88,45.39,20.7,8.9,73.22,0.0,64.99,0.93,73.854234,18.501188,Bajaj Statue Square_50
3945,SATISFACTORY,2022-02-02 01:01:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,96.0,0.0,16.18,44.83,482.75,79.44,0.88,45.39,20.7,8.9,73.22,0.0,64.99,0.93,73.854234,18.501188,Bajaj Statue Square_50
7692,SATISFACTORY,2022-02-02 23:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,86.0,0.0,16.94,40.16,475.01,82.25,1.31,50.32,22.68,9.55,73.98,0.23,63.45,0.94,73.854234,18.501188,Bajaj Statue Square_50
7728,SATISFACTORY,2022-02-03 00:01:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,86.0,0.0,20.07,40.95,469.93,84.66,1.14,45.44,22.48,9.44,73.03,0.12,63.95,0.94,73.854234,18.501188,Bajaj Statue Square_50
7767,SATISFACTORY,2022-02-03 00:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,86.0,0.0,22.75,42.61,466.87,81.65,0.88,40.5,22.3,9.4,73.2,0.01,64.44,0.94,73.854234,18.501188,Bajaj Statue Square_50
7802,SATISFACTORY,2022-02-03 00:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,86.0,0.0,21.82,46.68,464.6,92.47,0.84,39.85,22.07,9.35,80.52,0.0,64.96,0.94,73.854234,18.501188,Bajaj Statue Square_50
7842,SATISFACTORY,2022-02-03 00:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,27.81,42.55,454.37,83.28,0.71,34.1,21.79,9.34,78.57,0.0,65.06,0.93,73.854234,18.501188,Bajaj Statue Square_50
7881,SATISFACTORY,2022-02-03 01:01:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,32.81,34.28,448.1,69.35,0.57,29.57,21.53,9.37,78.77,0.0,65.24,0.93,73.854234,18.501188,Bajaj Statue Square_50
7918,SATISFACTORY,2022-02-03 01:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,33.22,31.48,447.9,61.55,0.5,27.97,21.35,9.37,79.27,0.0,65.96,0.93,73.854234,18.501188,Bajaj Statue Square_50
7955,SATISFACTORY,2022-02-03 01:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,36.18,29.21,446.74,49.81,0.43,23.53,21.24,9.4,70.13,0.0,66.25,0.93,73.854234,18.501188,Bajaj Statue Square_50
7999,SATISFACTORY,2022-02-03 01:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,38.59,28.28,444.0,47.69,0.39,20.02,21.13,9.4,69.72,0.0,65.96,0.93,73.854234,18.501188,Bajaj Statue Square_50
8035,SATISFACTORY,2022-02-03 02:01:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,39.12,28.96,441.23,50.0,0.37,19.81,20.92,9.31,74.3,0.0,65.61,0.93,73.854234,18.501188,Bajaj Statue Square_50
8077,SATISFACTORY,2022-02-03 02:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,39.37,27.85,439.24,47.32,0.35,20.34,20.56,9.15,82.11,0.0,66.19,0.93,73.854234,18.501188,Bajaj Statue Square_50
8111,SATISFACTORY,2022-02-03 02:31:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,40.58,24.73,438.19,38.75,0.32,19.71,20.15,8.8,85.75,0.0,67.61,0.93,73.854234,18.501188,Bajaj Statue Square_50
8151,SATISFACTORY,2022-02-03 02:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,84.0,0.0,40.43,23.77,438.04,37.19,0.31,19.68,19.79,8.79,84.68,0.0,68.57,0.93,73.854234,18.501188,Bajaj Statue Square_50
8192,SATISFACTORY,2022-02-03 03:01:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,84.0,0.0,37.97,23.61,437.52,41.26,0.32,19.74,19.61,9.23,86.28,0.0,68.76,0.93,73.854234,18.501188,Bajaj Statue Square_50
8228,SATISFACTORY,2022-02-03 03:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,84.0,0.0,29.39,27.31,440.94,57.73,0.38,25.49,19.64,9.38,80.18,0.0,68.3,0.93,73.854234,18.501188,Bajaj Statue Square_50
8272,SATISFACTORY,2022-02-03 03:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,84.0,0.0,29.29,30.43,440.11,72.37,0.39,25.29,19.63,9.35,71.89,0.0,66.85,0.93,73.854234,18.501188,Bajaj Statue Square_50
8312,SATISFACTORY,2022-02-03 03:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,37.71,25.69,434.72,57.21,0.32,17.27,19.54,9.34,75.43,0.0,64.53,0.93,73.854234,18.501188,Bajaj Statue Square_50
8350,SATISFACTORY,2022-02-03 04:01:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,39.5,25.06,433.42,51.19,0.31,16.98,19.48,9.36,74.12,0.0,62.18,0.93,73.854234,18.501188,Bajaj Statue Square_50
8389,SATISFACTORY,2022-02-03 04:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,37.26,30.32,435.28,67.35,0.33,21.22,19.41,9.24,79.29,0.0,61.33,0.93,73.854234,18.501188,Bajaj Statue Square_50
8425,SATISFACTORY,2022-02-03 04:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,39.4,29.96,434.38,61.57,0.3,19.91,19.25,8.75,80.28,0.0,61.78,0.93,73.854234,18.501188,Bajaj Statue Square_50
8467,SATISFACTORY,2022-02-03 04:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2a072b6c-ec0b-d307-bdc6-86a8b585f5df,85.0,0.0,41.73,28.23,432.14,46.86,0.28,17.43,18.88,8.45,71.61,0.0,64.12,0.93,73.854234,18.501188,Bajaj Statue Square_50
