index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
29,SATISFACTORY,2022-01-31 23:31:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,97.0,0.0,0.0,28.11,46.15,67.27,2.96,113.43,23.05,1.84,75.7,1.7,51.59,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
63,MODERATE,2022-01-31 23:46:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,102.0,0.0,0.0,29.29,46.1,64.5,2.81,112.84,22.72,1.77,75.11,1.66,52.54,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
101,MODERATE,2022-02-01 00:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,102.0,0.0,0.0,28.54,41.86,57.44,2.05,107.02,22.42,1.58,74.57,1.06,53.55,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
142,MODERATE,2022-02-01 00:16:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,102.0,0.0,0.0,30.49,41.44,62.76,1.97,102.81,22.13,1.4,74.53,0.9,54.94,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
177,MODERATE,2022-02-01 00:31:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,102.0,0.0,0.0,34.31,42.98,68.97,1.96,99.28,21.9,1.23,73.93,0.86,56.24,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
219,MODERATE,2022-02-01 00:46:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,103.0,0.0,0.0,34.22,38.93,64.83,1.72,90.67,21.75,0.98,72.97,0.76,57.23,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
255,MODERATE,2022-02-01 01:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,103.0,0.0,0.0,31.84,34.64,59.51,1.43,82.41,21.58,0.85,72.07,0.64,58.48,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
296,MODERATE,2022-02-01 01:16:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,103.0,0.0,0.0,35.17,34.23,58.2,1.37,78.78,21.37,0.82,71.56,0.57,59.8,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
337,MODERATE,2022-02-01 01:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,103.0,0.0,0.0,36.5,33.93,59.55,1.43,80.89,21.14,0.86,71.36,0.5,60.78,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
375,MODERATE,2022-02-01 01:46:35+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,104.0,0.0,0.0,31.97,28.98,57.2,1.4,80.88,20.92,0.75,70.35,0.44,61.52,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
412,MODERATE,2022-02-01 02:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,104.0,0.0,0.0,28.41,18.77,50.36,1.19,73.97,20.73,0.63,69.78,0.32,62.06,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
445,MODERATE,2022-02-01 02:16:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,104.0,0.0,0.0,24.44,10.36,44.51,0.92,69.1,20.58,0.69,69.44,0.13,62.63,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
484,MODERATE,2022-02-01 02:31:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,104.0,0.0,0.0,22.36,7.24,42.66,0.74,67.44,20.49,0.68,68.8,0.06,62.9,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
518,MODERATE,2022-02-01 02:46:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,101.0,0.0,0.0,21.68,8.1,41.17,0.67,64.61,20.45,0.63,69.08,0.04,62.95,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
559,MODERATE,2022-02-01 03:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,101.0,0.0,0.0,22.37,7.79,41.18,0.67,64.0,20.36,0.61,68.97,0.0,63.2,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
597,MODERATE,2022-02-01 03:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,101.0,0.0,0.0,22.73,5.92,42.4,0.66,61.51,20.21,0.66,69.37,0.0,63.49,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
633,MODERATE,2022-02-01 03:31:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,101.0,0.0,0.0,23.2,6.48,44.58,0.7,61.13,20.05,0.71,70.07,0.0,63.89,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
671,SATISFACTORY,2022-02-01 03:46:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,93.0,0.0,0.0,23.89,6.25,44.19,0.65,62.36,19.89,0.69,69.99,0.0,64.26,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
712,SATISFACTORY,2022-02-01 04:01:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,93.0,0.0,0.0,23.64,3.63,41.82,0.6,61.5,19.72,0.66,70.34,0.0,64.62,0.94,73.88559,18.538425,Blue Diamond Square (Hotel Taj)_10
