index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
31,MODERATE,2022-01-31 23:31:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,100.0,0.0,0.0,19.62,388.25,34.51,2.27,108.53,20.98,3.96,71.97,3.76,61.89,0.94,73.836817,18.572774,BopadiSquare_32
73,MODERATE,2022-01-31 23:46:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,102.0,0.0,0.0,19.19,383.87,34.04,2.27,107.43,20.32,3.03,73.89,3.65,62.86,0.94,73.836817,18.572774,BopadiSquare_32
112,MODERATE,2022-02-01 00:01:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,102.0,0.0,0.0,18.96,377.5,34.87,2.13,105.0,20.09,2.71,72.64,3.42,63.43,0.94,73.836817,18.572774,BopadiSquare_32
183,MODERATE,2022-02-01 00:31:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,102.0,0.0,0.0,13.56,368.55,23.88,2.14,89.19,19.33,2.64,71.57,2.51,66.3,0.94,73.836817,18.572774,BopadiSquare_32
224,MODERATE,2022-02-01 00:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,105.0,0.0,0.0,13.56,341.21,23.33,1.78,73.35,19.03,2.54,72.14,1.79,67.28,0.94,73.836817,18.572774,BopadiSquare_32
263,MODERATE,2022-02-01 01:01:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,105.0,0.0,0.0,12.48,316.25,22.78,1.56,73.67,18.28,2.32,88.36,1.38,69.85,0.94,73.836817,18.572774,BopadiSquare_32
304,MODERATE,2022-02-01 01:16:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,105.0,0.0,0.0,12.08,293.75,20.26,1.45,80.55,18.2,2.3,85.88,1.25,69.92,0.94,73.836817,18.572774,BopadiSquare_32
11113,SATISFACTORY,2022-02-03 22:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,91.0,0.0,0.0,1.87,230.58,2.86,0.61,82.85,21.16,4.38,70.83,1.39,67.66,0.94,73.836817,18.572774,BopadiSquare_32
11152,SATISFACTORY,2022-02-03 22:46:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,91.0,0.0,0.0,1.6,230.58,2.04,0.52,81.19,21.03,4.24,70.73,1.11,68.44,0.94,73.836817,18.572774,BopadiSquare_32
12060,SATISFACTORY,2022-02-04 04:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/10b6d0f8-ae93-6622-5d1b-76af4bebc11e,86.0,0.0,0.0,2.21,105.56,4.28,0.39,76.06,17.54,2.31,75.87,0.0,77.78,0.93,73.836817,18.572774,BopadiSquare_32
