index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
1406,SATISFACTORY,2022-02-01 09:16:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,73.0,0.09,5.12,81.31,407.02,130.76,1.42,74.94,19.5,1583.36,68.08,2.76,63.22,0.94,73.812648,18.560589,Bremen Square_37
1448,SATISFACTORY,2022-02-01 09:31:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,73.0,0.1,6.78,77.14,402.67,125.65,1.46,73.87,19.88,1658.42,68.09,2.71,62.05,0.94,73.812648,18.560589,Bremen Square_37
1483,SATISFACTORY,2022-02-01 09:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,73.0,0.11,9.09,66.78,393.21,113.46,1.5,70.75,20.76,1750.96,68.22,2.66,59.55,0.94,73.812648,18.560589,Bremen Square_37
1517,SATISFACTORY,2022-02-01 10:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,73.0,0.13,14.58,53.56,383.4,95.14,1.37,63.1,21.66,1791.09,68.42,2.3,56.65,0.94,73.812648,18.560589,Bremen Square_37
1553,SATISFACTORY,2022-02-01 10:16:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,73.0,0.15,22.33,45.58,377.09,82.91,1.3,55.65,22.53,1820.95,68.55,2.01,53.12,0.94,73.812648,18.560589,Bremen Square_37
1615,SATISFACTORY,2022-02-01 10:31:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.17,29.29,43.0,375.54,76.71,1.23,49.84,23.46,1831.31,68.62,1.85,49.15,0.94,73.812648,18.560589,Bremen Square_37
1652,SATISFACTORY,2022-02-01 10:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.19,32.7,40.39,377.49,75.45,1.02,45.15,24.32,1838.73,68.72,1.41,45.55,0.94,73.812648,18.560589,Bremen Square_37
1692,SATISFACTORY,2022-02-01 11:01:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.19,35.7,40.24,383.74,79.11,0.88,41.67,25.1,1834.88,68.92,1.04,42.61,0.94,73.812648,18.560589,Bremen Square_37
1727,SATISFACTORY,2022-02-01 11:16:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.2,36.8,39.77,389.62,76.16,0.92,39.06,25.77,1817.28,68.88,1.0,39.61,0.94,73.812648,18.560589,Bremen Square_37
1762,SATISFACTORY,2022-02-01 11:31:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.21,36.46,39.51,391.43,79.28,0.95,39.04,26.36,1783.94,68.62,1.02,37.01,0.94,73.812648,18.560589,Bremen Square_37
1793,SATISFACTORY,2022-02-01 11:46:34+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,71.0,0.22,41.73,41.12,389.76,79.78,0.88,36.89,26.89,1782.55,68.54,0.9,35.57,0.94,73.812648,18.560589,Bremen Square_37
1831,SATISFACTORY,2022-02-01 12:01:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,71.0,0.22,47.72,41.49,386.68,75.18,0.89,35.07,27.3,1820.28,69.15,0.83,33.95,0.94,73.812648,18.560589,Bremen Square_37
1876,SATISFACTORY,2022-02-01 12:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,71.0,0.24,55.89,41.56,385.14,75.87,0.77,33.3,27.67,1812.81,69.63,0.72,32.47,0.94,73.812648,18.560589,Bremen Square_37
1911,SATISFACTORY,2022-02-01 12:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.24,67.72,42.0,383.26,77.36,0.67,32.07,27.99,1790.19,68.75,0.76,32.0,0.94,73.812648,18.560589,Bremen Square_37
1931,SATISFACTORY,2022-02-01 12:46:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.24,77.69,40.87,383.73,74.46,0.63,32.01,28.29,1809.78,67.85,0.75,31.64,0.94,73.812648,18.560589,Bremen Square_37
1965,SATISFACTORY,2022-02-01 13:01:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.24,80.34,39.14,384.28,71.73,0.6,32.01,28.61,1824.84,67.81,0.66,30.66,0.93,73.812648,18.560589,Bremen Square_37
2012,SATISFACTORY,2022-02-01 13:16:28+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.22,76.91,36.2,381.61,79.96,0.7,33.57,28.95,1835.32,67.99,0.86,29.11,0.93,73.812648,18.560589,Bremen Square_37
2051,SATISFACTORY,2022-02-01 13:31:28+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.22,83.57,32.22,376.84,72.29,0.58,28.16,29.33,1851.74,68.09,0.76,27.78,0.93,73.812648,18.560589,Bremen Square_37
2091,SATISFACTORY,2022-02-01 13:46:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.22,86.69,30.66,377.23,59.0,0.51,27.75,29.56,1844.01,68.0,0.68,27.23,0.93,73.812648,18.560589,Bremen Square_37
2134,SATISFACTORY,2022-02-01 14:01:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.21,78.07,30.27,382.52,61.51,0.67,35.7,29.75,1835.39,67.95,1.01,27.07,0.93,73.812648,18.560589,Bremen Square_37
2176,SATISFACTORY,2022-02-01 14:16:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,72.0,0.21,81.77,26.55,381.63,53.37,0.63,34.26,30.0,1823.61,67.95,0.94,26.69,0.93,73.812648,18.560589,Bremen Square_37
2401,SATISFACTORY,2022-02-01 15:46:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.14,68.46,20.01,382.99,54.93,0.44,33.63,30.64,1780.95,70.51,0.96,24.61,0.93,73.812648,18.560589,Bremen Square_37
2442,SATISFACTORY,2022-02-01 16:01:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.12,70.97,19.85,381.33,52.75,0.49,35.75,30.63,1591.24,70.46,1.08,24.77,0.93,73.812648,18.560589,Bremen Square_37
2488,SATISFACTORY,2022-02-01 16:16:29+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.1,63.39,21.07,381.6,54.65,0.58,41.18,30.68,1540.53,71.01,1.52,25.47,0.93,73.812648,18.560589,Bremen Square_37
2530,SATISFACTORY,2022-02-01 16:31:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.09,59.36,21.01,379.52,50.92,0.58,41.37,30.63,1388.96,71.86,1.67,26.16,0.93,73.812648,18.560589,Bremen Square_37
2569,SATISFACTORY,2022-02-01 16:46:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.07,53.04,24.45,381.28,78.53,0.67,44.65,30.48,1228.91,72.3,1.78,26.65,0.93,73.812648,18.560589,Bremen Square_37
2612,SATISFACTORY,2022-02-01 17:01:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.05,39.06,27.85,387.86,101.21,0.88,55.47,30.25,1084.43,72.39,2.09,27.62,0.93,73.812648,18.560589,Bremen Square_37
2650,SATISFACTORY,2022-02-01 17:16:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.04,32.3,26.29,391.11,77.4,1.01,60.66,29.97,901.01,72.63,2.43,28.95,0.93,73.812648,18.560589,Bremen Square_37
2695,SATISFACTORY,2022-02-01 17:31:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,70.0,0.03,26.87,22.06,387.01,54.19,0.94,61.38,29.65,796.43,71.74,2.72,31.21,0.93,73.812648,18.560589,Bremen Square_37
2732,SATISFACTORY,2022-02-01 17:46:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/98bf83b7-a2b8-ea70-88aa-7d1d9f33dbe0,71.0,0.02,27.74,17.87,379.37,43.18,0.7,56.23,29.33,624.56,69.72,2.66,33.84,0.93,73.812648,18.560589,Bremen Square_37
