index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
33,SATISFACTORY,2022-01-31 23:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,91.0,0.0,11.44,28.03,381.38,55.75,1.45,85.44,23.01,3.3,68.31,1.93,55.09,0.94,73.783532,18.507789,Chandani Square_25
69,SATISFACTORY,2022-01-31 23:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,89.0,0.0,13.01,25.2,378.28,50.12,1.29,79.28,22.79,3.28,69.48,1.58,56.43,0.94,73.783532,18.507789,Chandani Square_25
109,SATISFACTORY,2022-02-01 00:01:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,89.0,0.0,14.99,21.89,371.79,44.14,1.01,72.16,22.53,3.28,71.25,1.08,57.12,0.94,73.783532,18.507789,Chandani Square_25
145,SATISFACTORY,2022-02-01 00:16:35+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,89.0,0.0,18.66,18.67,364.78,37.88,0.81,66.08,22.32,3.28,71.59,0.76,57.51,0.94,73.783532,18.507789,Chandani Square_25
185,SATISFACTORY,2022-02-01 00:31:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,89.0,0.0,19.46,18.41,365.99,38.29,0.72,62.67,22.18,3.28,71.69,0.54,57.84,0.94,73.783532,18.507789,Chandani Square_25
214,SATISFACTORY,2022-02-01 00:46:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,85.0,0.0,20.71,18.99,364.71,37.59,0.65,61.3,22.09,3.28,72.59,0.3,58.18,0.94,73.783532,18.507789,Chandani Square_25
252,SATISFACTORY,2022-02-01 01:01:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,85.0,0.0,24.86,17.65,358.81,32.19,0.53,56.26,21.98,3.28,73.09,0.13,58.51,0.94,73.783532,18.507789,Chandani Square_25
291,SATISFACTORY,2022-02-01 01:16:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,85.0,0.0,22.38,17.73,360.63,31.2,0.47,56.83,21.79,3.29,73.0,0.04,59.22,0.94,73.783532,18.507789,Chandani Square_25
335,SATISFACTORY,2022-02-01 01:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,85.0,0.0,19.36,18.97,362.96,32.98,0.47,58.41,21.59,3.29,72.62,0.02,59.92,0.94,73.783532,18.507789,Chandani Square_25
371,SATISFACTORY,2022-02-01 01:46:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,78.0,0.0,22.81,17.79,360.33,30.5,0.45,53.49,21.48,3.29,71.24,0.02,60.18,0.94,73.783532,18.507789,Chandani Square_25
410,SATISFACTORY,2022-02-01 02:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,78.0,0.0,23.56,16.08,357.42,28.86,0.42,51.5,21.34,3.29,70.33,0.0,60.52,0.94,73.783532,18.507789,Chandani Square_25
451,SATISFACTORY,2022-02-01 02:16:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,78.0,0.0,23.65,15.14,358.33,27.5,0.38,49.48,21.16,3.29,71.36,0.0,61.11,0.94,73.783532,18.507789,Chandani Square_25
480,SATISFACTORY,2022-02-01 02:31:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,78.0,0.0,23.14,14.29,359.91,25.47,0.37,48.82,20.98,3.29,71.35,0.0,61.67,0.94,73.783532,18.507789,Chandani Square_25
515,SATISFACTORY,2022-02-01 02:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,72.0,0.0,21.29,14.86,362.26,27.5,0.37,50.29,20.77,3.3,71.16,0.0,62.3,0.94,73.783532,18.507789,Chandani Square_25
548,SATISFACTORY,2022-02-01 03:01:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,72.0,0.0,23.49,14.08,361.15,25.65,0.35,46.53,20.54,3.3,71.16,0.0,63.06,0.94,73.783532,18.507789,Chandani Square_25
586,SATISFACTORY,2022-02-01 03:16:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,72.0,0.0,25.62,12.54,359.4,21.71,0.31,40.97,20.32,3.3,71.06,0.0,63.78,0.94,73.783532,18.507789,Chandani Square_25
