index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2187,SATISFACTORY,2022-02-01 14:16:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,56.0,1.62,45.32,21.01,221.91,52.5,1.71,14.98,39.54,29707.53,73.69,0.07,19.77,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2230,SATISFACTORY,2022-02-01 14:31:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,56.0,1.61,56.63,22.59,215.1,48.58,1.45,8.55,40.17,34662.49,73.22,0.07,19.44,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2268,SATISFACTORY,2022-02-01 14:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,63.0,1.5,51.0,23.53,226.86,53.25,1.53,12.2,40.69,39062.63,73.22,0.0,18.96,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2303,SATISFACTORY,2022-02-01 15:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,63.0,1.31,40.72,23.57,227.54,48.66,1.52,16.73,40.89,42793.02,73.77,0.0,18.36,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2339,SATISFACTORY,2022-02-01 15:16:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,63.0,1.15,47.25,22.13,232.14,43.28,1.22,9.2,40.97,45802.22,74.05,0.0,17.7,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2374,SATISFACTORY,2022-02-01 15:31:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,71.0,0.97,42.36,22.96,234.69,47.53,1.61,12.58,40.97,47663.47,73.92,0.33,17.08,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2408,SATISFACTORY,2022-02-01 15:46:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,71.0,0.78,25.95,26.74,231.92,55.8,2.31,25.31,41.04,49274.18,74.61,0.77,16.78,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2451,SATISFACTORY,2022-02-01 16:01:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,71.0,0.63,26.91,23.23,235.61,52.72,2.09,24.57,41.2,50854.65,74.72,0.43,16.75,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2491,SATISFACTORY,2022-02-01 16:16:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,71.0,0.51,31.99,22.03,245.07,51.76,1.78,18.0,41.19,50412.28,73.86,0.01,16.75,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
2535,SATISFACTORY,2022-02-01 16:31:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/17429134-c3d7-da41-0057-388a28723913,71.0,0.39,26.6,21.24,265.65,52.59,1.95,17.94,40.92,48885.46,74.58,0.67,16.75,0.88,73.85259,18.513701,Chitale Bandhu Corner_41
