index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2192,GOOD,2022-02-01 14:16:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,33.0,0.7,101.81,0.0,461.62,3.04,0.48,0.0,34.66,3847.85,102.01,0.0,20.39,0.93,73.913848,18.565271,Datta Mandir Square_66
2236,GOOD,2022-02-01 14:31:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,33.0,0.64,91.43,3.38,469.78,9.0,0.64,0.0,34.66,3801.16,102.01,0.21,20.09,0.93,73.913848,18.565271,Datta Mandir Square_66
2274,SATISFACTORY,2022-02-01 14:46:31+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,87.0,0.58,86.23,4.92,475.05,11.29,0.84,0.0,34.86,3742.81,102.01,0.46,19.03,0.93,73.913848,18.565271,Datta Mandir Square_66
2311,SATISFACTORY,2022-02-01 15:01:30+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,87.0,0.52,90.31,4.26,485.05,10.64,0.83,0.06,35.09,3736.6,102.01,0.65,18.33,0.93,73.913848,18.565271,Datta Mandir Square_66
2344,SATISFACTORY,2022-02-01 15:16:31+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,87.0,0.45,91.13,5.07,509.49,12.85,0.96,0.27,35.22,3636.23,102.01,1.29,18.14,0.93,73.913848,18.565271,Datta Mandir Square_66
2377,SATISFACTORY,2022-02-01 15:31:30+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,95.0,0.38,100.25,4.37,534.37,9.99,0.83,0.21,35.5,3483.38,102.01,1.26,17.86,0.93,73.913848,18.565271,Datta Mandir Square_66
2419,SATISFACTORY,2022-02-01 15:46:30+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,95.0,0.31,105.81,4.1,534.15,8.46,0.6,0.0,35.55,3419.14,102.01,0.95,18.11,0.93,73.913848,18.565271,Datta Mandir Square_66
2462,SATISFACTORY,2022-02-01 16:01:31+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,95.0,0.24,96.0,4.08,523.06,8.65,0.88,0.32,35.39,3310.62,102.01,1.62,18.42,0.93,73.913848,18.565271,Datta Mandir Square_66
2499,SATISFACTORY,2022-02-01 16:16:32+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,95.0,0.19,86.63,4.26,527.06,8.67,1.04,0.32,35.36,3125.83,102.01,1.94,18.14,0.93,73.913848,18.565271,Datta Mandir Square_66
2544,SATISFACTORY,2022-02-01 16:31:30+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8011a665-ea2b-dd08-4c49-667bb2256545,95.0,0.15,80.79,5.07,523.16,12.92,1.07,0.17,35.28,2924.08,102.01,2.32,17.7,0.93,73.913848,18.565271,Datta Mandir Square_66
