index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
24,SATISFACTORY,2022-01-31 23:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,94.0,0.0,0.0,34.43,713.19,105.88,1.94,97.94,22.52,19.33,75.84,0.03,55.65,0.93,73.952635,18.48664,FursungiKaman_31
62,SATISFACTORY,2022-01-31 23:46:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,95.0,0.0,0.0,46.96,725.66,173.75,2.11,102.98,22.34,19.08,75.66,0.02,56.3,0.93,73.952635,18.48664,FursungiKaman_31
100,SATISFACTORY,2022-02-01 00:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,95.0,0.0,0.0,55.81,730.38,241.51,2.25,105.55,22.19,18.93,74.03,0.02,56.83,0.93,73.952635,18.48664,FursungiKaman_31
6593,MODERATE,2022-02-02 17:31:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,103.0,0.06,25.86,25.28,685.75,95.04,1.08,55.89,33.44,2122.28,80.17,1.01,26.6,0.93,73.952635,18.48664,FursungiKaman_31
6632,SATISFACTORY,2022-02-02 17:46:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,99.0,0.04,18.61,26.99,683.68,107.54,1.22,63.13,32.84,1795.94,80.0,1.28,27.55,0.93,73.952635,18.48664,FursungiKaman_31
6680,SATISFACTORY,2022-02-02 18:01:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,99.0,0.02,9.79,34.04,683.77,133.6,1.47,73.47,31.87,1180.18,80.43,1.64,29.06,0.93,73.952635,18.48664,FursungiKaman_31
6723,SATISFACTORY,2022-02-02 18:16:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,99.0,0.01,5.66,42.71,685.87,167.1,1.69,79.92,31.09,612.9,80.83,1.75,29.86,0.93,73.952635,18.48664,FursungiKaman_31
6760,SATISFACTORY,2022-02-02 18:31:28+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,99.0,0.0,2.64,36.57,690.03,149.57,1.91,83.92,30.28,200.85,80.45,1.82,30.91,0.93,73.952635,18.48664,FursungiKaman_31
6803,SATISFACTORY,2022-02-02 18:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,92.0,0.0,2.34,31.07,692.83,120.98,2.15,87.02,29.57,45.8,80.61,2.0,32.58,0.93,73.952635,18.48664,FursungiKaman_31
6853,SATISFACTORY,2022-02-02 19:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d824fa46-223b-f248-493e-80bb5bdeda68,92.0,0.0,1.24,54.1,705.69,181.22,3.18,97.99,29.04,24.21,80.73,3.57,34.2,0.93,73.952635,18.48664,FursungiKaman_31
