index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
32,MODERATE,2022-01-31 23:31:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,118.0,0.0,0.0,0.69,112.84,0.86,1.32,130.79,20.43,4.26,62.97,0.0,63.49,0.94,73.889322,18.552602,Golf Club Junction_27
72,MODERATE,2022-01-31 23:46:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,118.0,0.0,0.0,0.65,123.2,0.83,1.3,135.09,20.04,3.82,63.56,0.0,65.12,0.94,73.889322,18.552602,Golf Club Junction_27
106,MODERATE,2022-02-01 00:01:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,118.0,0.0,0.0,0.71,125.69,0.9,1.24,133.82,19.75,3.72,63.51,0.0,66.61,0.94,73.889322,18.552602,Golf Club Junction_27
148,MODERATE,2022-02-01 00:16:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,118.0,0.0,0.0,0.74,120.67,0.92,1.19,131.07,19.52,3.44,63.01,0.0,67.81,0.94,73.889322,18.552602,Golf Club Junction_27
182,MODERATE,2022-02-01 00:31:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,118.0,0.0,0.0,0.66,119.27,0.83,1.09,126.57,19.25,2.95,62.16,0.0,68.99,0.94,73.889322,18.552602,Golf Club Junction_27
215,MODERATE,2022-02-01 00:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,119.0,0.0,0.0,0.65,113.53,0.82,0.99,122.02,18.92,2.92,61.5,0.0,70.24,0.94,73.889322,18.552602,Golf Club Junction_27
259,MODERATE,2022-02-01 01:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,119.0,0.0,0.0,0.82,105.29,1.01,0.94,120.87,18.61,2.5,61.45,0.0,71.03,0.94,73.889322,18.552602,Golf Club Junction_27
297,MODERATE,2022-02-01 01:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,119.0,0.0,0.0,0.84,103.33,1.03,0.86,119.26,18.34,2.3,62.01,0.0,71.71,0.94,73.889322,18.552602,Golf Club Junction_27
323,MODERATE,2022-02-01 01:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,119.0,0.0,0.0,0.71,101.2,0.97,0.83,116.06,18.11,2.23,62.66,0.0,72.41,0.94,73.889322,18.552602,Golf Club Junction_27
361,MODERATE,2022-02-01 01:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,119.0,0.0,0.0,0.88,96.47,1.16,0.8,113.07,17.92,2.15,62.84,0.0,72.94,0.94,73.889322,18.552602,Golf Club Junction_27
