index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
0,SATISFACTORY,2022-01-31 23:31:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,71.0,0.0,32.97,16.94,322.99,35.48,3.04,78.51,21.3,4.52,74.53,0.06,62.28,0.46,73.878603,18.502865,Golibar Square_11
38,SATISFACTORY,2022-01-31 23:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,82.0,0.0,32.45,19.53,325.75,36.37,2.81,77.01,21.07,3.87,72.3,0.02,62.81,0.46,73.878603,18.502865,Golibar Square_11
77,SATISFACTORY,2022-02-01 00:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,82.0,0.0,32.66,19.62,328.14,36.0,2.54,78.08,20.83,3.83,73.43,0.0,63.34,0.46,73.878603,18.502865,Golibar Square_11
120,SATISFACTORY,2022-02-01 00:16:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,82.0,0.0,31.88,15.97,321.91,29.73,2.2,75.16,20.59,3.58,77.27,0.0,63.99,0.46,73.878603,18.502865,Golibar Square_11
157,SATISFACTORY,2022-02-01 00:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,82.0,0.0,31.35,16.05,318.75,29.87,1.94,72.37,20.33,3.25,77.32,0.0,64.59,0.46,73.878603,18.502865,Golibar Square_11
222,SATISFACTORY,2022-02-01 00:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,31.96,17.27,325.0,35.7,2.02,73.05,20.07,3.05,74.95,0.0,65.14,0.46,73.878603,18.502865,Golibar Square_11
264,SATISFACTORY,2022-02-01 01:01:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,31.29,16.64,322.79,34.83,1.89,71.03,19.83,2.87,75.9,0.0,65.65,0.46,73.878603,18.502865,Golibar Square_11
299,SATISFACTORY,2022-02-01 01:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,31.55,18.49,320.44,34.28,1.66,70.93,19.59,3.19,76.58,0.0,66.21,0.46,73.878603,18.502865,Golibar Square_11
336,SATISFACTORY,2022-02-01 01:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,31.09,17.44,319.13,33.06,1.47,71.75,19.32,3.17,77.41,0.0,66.82,0.46,73.878603,18.502865,Golibar Square_11
370,MODERATE,2022-02-01 01:46:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,30.29,13.94,315.9,27.27,1.27,72.06,19.1,2.76,77.84,0.0,67.25,0.46,73.878603,18.502865,Golibar Square_11
407,MODERATE,2022-02-01 02:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,30.34,14.49,311.57,25.38,1.18,70.99,18.96,2.97,77.03,0.0,67.52,0.46,73.878603,18.502865,Golibar Square_11
448,MODERATE,2022-02-01 02:16:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,29.92,14.12,307.44,24.99,1.18,67.85,18.81,3.1,77.96,0.0,67.83,0.46,73.878603,18.502865,Golibar Square_11
483,MODERATE,2022-02-01 02:31:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,29.83,12.49,306.44,23.24,1.11,66.33,18.62,3.07,77.3,0.0,68.23,0.46,73.878603,18.502865,Golibar Square_11
521,MODERATE,2022-02-01 02:46:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,28.79,11.93,305.03,21.95,1.05,64.32,18.45,2.88,72.91,0.0,68.69,0.46,73.878603,18.502865,Golibar Square_11
555,MODERATE,2022-02-01 03:01:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,27.96,11.1,297.87,21.27,1.0,59.86,18.3,2.5,69.97,0.0,69.07,0.46,73.878603,18.502865,Golibar Square_11
593,MODERATE,2022-02-01 03:16:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,27.83,10.23,289.75,20.15,0.88,57.88,18.17,2.52,70.19,0.0,69.32,0.46,73.878603,18.502865,Golibar Square_11
634,MODERATE,2022-02-01 03:31:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,27.52,9.85,285.61,18.78,0.77,58.56,18.06,2.63,72.18,0.0,69.6,0.46,73.878603,18.502865,Golibar Square_11
648,MODERATE,2022-02-01 03:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,27.76,10.19,281.7,19.42,0.75,56.45,17.9,2.67,74.89,0.0,70.0,0.46,73.878603,18.502865,Golibar Square_11
685,MODERATE,2022-02-01 04:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,27.14,9.92,274.8,18.16,0.7,50.61,17.71,2.49,72.86,0.0,70.47,0.46,73.878603,18.502865,Golibar Square_11
723,MODERATE,2022-02-01 04:16:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,26.48,9.77,276.51,18.03,0.65,47.82,17.47,2.3,70.07,0.0,71.07,0.46,73.878603,18.502865,Golibar Square_11
762,MODERATE,2022-02-01 04:31:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,100.0,0.0,27.32,10.44,293.61,21.55,0.66,48.79,17.19,2.73,72.7,0.0,71.86,0.46,73.878603,18.502865,Golibar Square_11
822,SATISFACTORY,2022-02-01 04:46:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,28.6,12.91,318.78,29.51,0.79,50.37,16.94,2.92,74.29,0.0,72.68,0.46,73.878603,18.502865,Golibar Square_11
851,SATISFACTORY,2022-02-01 05:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,29.29,13.61,333.97,29.83,0.89,51.68,16.77,2.79,72.01,0.0,73.21,0.46,73.878603,18.502865,Golibar Square_11
885,SATISFACTORY,2022-02-01 05:16:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,29.31,11.06,341.19,21.93,0.98,50.34,16.61,3.35,72.38,0.0,73.4,0.46,73.878603,18.502865,Golibar Square_11
919,SATISFACTORY,2022-02-01 05:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,91.0,0.0,28.37,9.95,347.08,19.42,1.14,49.88,16.39,3.82,76.79,0.0,73.74,0.46,73.878603,18.502865,Golibar Square_11
951,SATISFACTORY,2022-02-01 05:46:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,83.0,0.0,27.98,9.67,282.9,17.54,1.1,49.56,16.17,3.67,79.84,0.0,74.31,0.45,73.878603,18.502865,Golibar Square_11
987,SATISFACTORY,2022-02-01 06:01:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,83.0,0.0,29.39,9.19,110.69,17.37,1.01,49.32,15.95,3.85,77.36,0.0,74.98,0.45,73.878603,18.502865,Golibar Square_11
1023,SATISFACTORY,2022-02-01 06:16:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,83.0,0.0,29.43,9.33,1.07,18.31,1.04,49.14,15.74,3.78,73.13,0.0,75.69,0.45,73.878603,18.502865,Golibar Square_11
1059,SATISFACTORY,2022-02-01 06:31:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,83.0,0.0,28.74,9.47,0.0,17.1,1.14,49.6,15.59,3.52,75.23,0.0,76.23,0.45,73.878603,18.502865,Golibar Square_11
1093,SATISFACTORY,2022-02-01 06:46:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,71.0,0.0,29.03,10.63,0.0,18.84,1.32,50.98,15.51,14.86,76.89,0.0,76.44,0.45,73.878603,18.502865,Golibar Square_11
1123,SATISFACTORY,2022-02-01 07:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/146a3c4f-c6e4-959f-e967-f0cfd5b03dcb,71.0,0.0,29.27,14.32,0.0,32.08,1.58,49.32,15.42,122.31,74.94,0.0,76.65,0.45,73.878603,18.502865,Golibar Square_11
