index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
12,SATISFACTORY,2022-01-31 23:31:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,93.0,0.0,10.1,26.09,186.81,40.4,1.33,54.59,22.36,1.98,71.09,0.0,58.85,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
47,SATISFACTORY,2022-01-31 23:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,91.0,0.0,13.05,26.47,180.6,37.63,1.24,51.52,22.29,1.83,69.67,0.0,59.51,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
89,SATISFACTORY,2022-02-01 00:01:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,91.0,0.0,15.78,26.24,173.77,37.02,1.09,49.7,22.21,1.72,68.08,0.0,59.86,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
129,SATISFACTORY,2022-02-01 00:16:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,91.0,0.0,16.76,23.38,168.52,34.95,0.95,49.77,22.07,1.58,66.78,0.0,60.3,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
168,SATISFACTORY,2022-02-01 00:31:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,91.0,0.0,21.14,17.21,160.51,28.91,0.75,45.55,21.89,1.48,65.81,0.0,60.9,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
191,SATISFACTORY,2022-02-01 00:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,84.0,0.0,26.33,15.0,154.31,26.37,0.61,40.77,21.72,1.42,65.03,0.0,61.51,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
234,SATISFACTORY,2022-02-01 01:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,84.0,0.0,23.88,21.23,153.72,29.21,0.6,40.62,21.58,1.37,64.84,0.0,62.16,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
275,SATISFACTORY,2022-02-01 01:16:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,84.0,0.0,20.24,25.12,153.85,32.39,0.63,40.3,21.46,1.35,64.26,0.0,62.87,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
312,SATISFACTORY,2022-02-01 01:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,84.0,0.0,21.06,25.38,153.1,34.61,0.57,37.42,21.34,1.34,63.53,0.0,63.45,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
346,SATISFACTORY,2022-02-01 01:46:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/67ae0343-59e4-e88f-bc4a-f55e7789df44,76.0,0.0,20.19,23.0,151.81,31.65,0.57,37.55,21.14,1.32,62.91,0.0,63.9,0.94,73.841424,18.517439,Goodluck Square_Cafe_23
