index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
22,SATISFACTORY,2022-01-31 23:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,69.0,0.0,0.0,30.02,447.97,48.88,2.38,75.17,21.98,1.13,78.65,0.67,64.95,0.94,73.889113,18.546154,Gunjan Square_65
57,SATISFACTORY,2022-01-31 23:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,73.0,0.0,0.0,24.01,471.5,39.34,2.21,72.65,21.67,1.07,77.92,0.32,67.15,0.94,73.889113,18.546154,Gunjan Square_65
93,SATISFACTORY,2022-02-01 00:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,73.0,0.0,0.0,23.94,482.11,39.6,2.1,78.39,21.49,1.01,77.86,0.37,66.6,0.94,73.889113,18.546154,Gunjan Square_65
137,SATISFACTORY,2022-02-01 00:16:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,73.0,0.0,0.0,22.08,479.45,37.87,1.93,76.21,21.32,0.96,77.43,0.28,67.25,0.94,73.889113,18.546154,Gunjan Square_65
176,SATISFACTORY,2022-02-01 00:31:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,73.0,0.0,0.0,21.51,479.95,35.61,1.87,73.58,21.1,0.9,76.92,0.22,67.97,0.94,73.889113,18.546154,Gunjan Square_65
199,SATISFACTORY,2022-02-01 00:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,81.0,0.0,0.0,22.71,485.97,36.22,1.89,74.07,20.93,0.87,76.69,0.17,68.12,0.94,73.889113,18.546154,Gunjan Square_65
242,SATISFACTORY,2022-02-01 01:01:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,81.0,0.0,0.0,27.58,472.24,42.44,1.65,75.34,20.74,0.86,76.06,0.09,67.52,0.94,73.889113,18.546154,Gunjan Square_65
284,SATISFACTORY,2022-02-01 01:16:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,81.0,0.0,0.0,28.68,452.85,41.88,1.27,72.25,20.56,0.86,74.12,0.01,67.13,0.94,73.889113,18.546154,Gunjan Square_65
321,SATISFACTORY,2022-02-01 01:31:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,81.0,0.0,0.0,23.66,457.65,35.62,1.27,64.75,20.43,0.85,72.89,0.07,68.06,0.94,73.889113,18.546154,Gunjan Square_65
359,SATISFACTORY,2022-02-01 01:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.0,0.0,18.78,464.71,29.87,1.33,61.04,20.35,0.85,73.72,0.07,69.41,0.94,73.889113,18.546154,Gunjan Square_65
394,SATISFACTORY,2022-02-01 02:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.0,0.0,17.14,458.81,26.91,1.13,65.39,20.19,0.85,74.03,0.0,69.61,0.94,73.889113,18.546154,Gunjan Square_65
436,SATISFACTORY,2022-02-01 02:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.0,0.0,16.91,451.26,26.72,0.92,68.06,19.97,0.85,72.51,0.0,69.25,0.94,73.889113,18.546154,Gunjan Square_65
465,SATISFACTORY,2022-02-01 02:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.0,0.0,17.23,461.4,26.45,1.02,65.36,19.8,0.85,71.05,0.0,69.55,0.94,73.889113,18.546154,Gunjan Square_65
503,SATISFACTORY,2022-02-01 02:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.0,0.0,17.93,478.25,27.93,1.26,55.11,19.67,0.85,72.03,0.0,71.25,0.94,73.889113,18.546154,Gunjan Square_65
536,SATISFACTORY,2022-02-01 03:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.0,0.0,17.48,469.32,28.34,1.31,46.47,19.5,0.85,73.84,0.0,73.13,0.94,73.889113,18.546154,Gunjan Square_65
573,SATISFACTORY,2022-02-01 03:16:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,90.0,0.0,0.0,17.96,454.27,28.41,1.29,47.59,19.25,0.85,73.36,0.0,74.0,0.94,73.889113,18.546154,Gunjan Square_65
