index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
27,MODERATE,2022-01-31 23:31:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,104.0,0.0,0.0,29.39,0.0,54.41,2.29,102.44,23.21,0.6,78.12,0.53,54.97,0.87,73.938842,18.500945,Hadapsar_Gadital_01
65,MODERATE,2022-01-31 23:46:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,105.0,0.0,0.0,36.2,0.0,69.87,2.6,102.02,23.15,0.54,75.04,0.9,55.61,0.87,73.938842,18.500945,Hadapsar_Gadital_01
104,MODERATE,2022-02-01 00:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,105.0,0.0,0.0,32.63,0.0,61.72,2.38,91.51,23.06,0.43,71.34,1.14,55.97,0.87,73.938842,18.500945,Hadapsar_Gadital_01
140,MODERATE,2022-02-01 00:16:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,105.0,0.0,0.0,28.21,0.0,54.25,2.12,85.84,22.91,0.41,70.28,1.04,56.26,0.87,73.938842,18.500945,Hadapsar_Gadital_01
181,MODERATE,2022-02-01 00:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,105.0,0.0,0.0,29.56,0.0,54.69,2.0,83.9,22.72,0.43,72.52,0.81,56.82,0.87,73.938842,18.500945,Hadapsar_Gadital_01
210,MODERATE,2022-02-01 00:46:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,106.0,0.0,0.0,27.66,0.0,47.87,1.84,83.66,22.43,0.41,73.7,0.4,57.73,0.87,73.938842,18.500945,Hadapsar_Gadital_01
246,MODERATE,2022-02-01 01:01:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,106.0,0.0,0.0,24.6,0.0,39.29,1.58,81.05,22.16,0.42,76.28,0.09,58.53,0.87,73.938842,18.500945,Hadapsar_Gadital_01
287,MODERATE,2022-02-01 01:16:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,106.0,0.0,0.0,29.63,0.0,48.87,1.35,77.09,21.97,0.45,80.17,0.02,59.24,0.87,73.938842,18.500945,Hadapsar_Gadital_01
328,MODERATE,2022-02-01 01:31:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,106.0,0.0,0.43,28.67,0.0,49.48,1.26,73.61,21.79,0.43,80.09,0.02,60.18,0.87,73.938842,18.500945,Hadapsar_Gadital_01
363,MODERATE,2022-02-01 01:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/390a5098-1616-60ca-955e-ce9b5d3ee5f9,107.0,0.0,3.81,19.7,0.0,34.8,1.14,65.45,21.59,0.43,75.8,0.03,61.09,0.87,73.938842,18.500945,Hadapsar_Gadital_01
