index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
4,SATISFACTORY,2022-01-31 23:31:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,72.0,0.0,30.78,58.04,0.0,96.2,1.83,75.28,22.36,2.89,81.63,4.3,62.43,0.94,73.848224,18.522881,Jhanshi Rani Square_59
45,SATISFACTORY,2022-01-31 23:46:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,31.29,45.19,0.0,75.8,1.34,69.19,22.09,2.41,81.43,3.86,63.13,0.94,73.848224,18.522881,Jhanshi Rani Square_59
81,SATISFACTORY,2022-02-01 00:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,34.77,38.2,0.0,64.63,0.99,63.16,21.75,1.9,81.0,3.53,64.11,0.94,73.848224,18.522881,Jhanshi Rani Square_59
119,SATISFACTORY,2022-02-01 00:16:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,41.65,35.56,0.0,58.16,0.75,57.16,21.43,1.83,80.92,3.29,64.98,0.94,73.848224,18.522881,Jhanshi Rani Square_59
155,SATISFACTORY,2022-02-01 00:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,46.95,32.61,0.0,52.58,0.58,51.82,21.14,1.81,80.77,3.24,65.83,0.94,73.848224,18.522881,Jhanshi Rani Square_59
226,SATISFACTORY,2022-02-01 00:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,48.45,32.67,0.0,50.87,0.48,47.51,20.93,1.74,80.46,3.16,66.74,0.94,73.848224,18.522881,Jhanshi Rani Square_59
260,SATISFACTORY,2022-02-01 01:01:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,46.84,34.98,0.0,53.16,0.43,44.92,20.76,1.65,80.15,2.97,67.64,0.94,73.848224,18.522881,Jhanshi Rani Square_59
303,SATISFACTORY,2022-02-01 01:16:33+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,41.4,34.89,0.0,53.32,0.43,44.52,20.64,1.6,80.06,2.82,68.48,0.94,73.848224,18.522881,Jhanshi Rani Square_59
314,SATISFACTORY,2022-02-01 01:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,78.0,0.0,32.97,35.59,0.0,59.9,0.43,47.57,20.53,1.59,80.08,2.63,69.22,0.94,73.848224,18.522881,Jhanshi Rani Square_59
351,SATISFACTORY,2022-02-01 01:46:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,75.0,0.0,28.58,34.29,0.0,59.41,0.4,48.54,20.41,1.59,79.98,2.49,69.54,0.94,73.848224,18.522881,Jhanshi Rani Square_59
