index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2186,SATISFACTORY,2022-02-01 14:16:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,61.0,0.13,69.92,14.61,270.01,36.75,0.89,17.67,31.1,523.96,78.19,1.47,28.31,0.93,73.815409,18.501802,Karve Statue Square_5
2210,SATISFACTORY,2022-02-01 14:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,61.0,0.14,77.16,15.14,271.44,31.52,0.6,8.49,31.58,510.36,77.83,1.07,27.95,0.93,73.815409,18.501802,Karve Statue Square_5
2251,SATISFACTORY,2022-02-01 14:46:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.14,72.16,17.11,274.75,37.03,0.75,15.99,31.89,478.08,77.58,1.09,26.92,0.93,73.815409,18.501802,Karve Statue Square_5
2283,SATISFACTORY,2022-02-01 15:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.09,59.2,17.73,281.18,46.64,0.88,32.15,31.91,457.32,78.0,1.23,26.54,0.93,73.815409,18.501802,Karve Statue Square_5
2321,SATISFACTORY,2022-02-01 15:16:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.06,60.57,18.79,282.63,50.04,0.8,31.63,32.03,442.86,77.82,1.26,27.0,0.93,73.815409,18.501802,Karve Statue Square_5
2356,SATISFACTORY,2022-02-01 15:31:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.05,70.32,17.72,276.36,46.41,0.77,22.83,32.13,422.87,77.41,1.25,26.68,0.93,73.815409,18.501802,Karve Statue Square_5
2411,SATISFACTORY,2022-02-01 15:46:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.05,66.91,16.41,277.9,43.73,0.87,25.65,32.13,407.1,76.64,1.37,26.06,0.93,73.815409,18.501802,Karve Statue Square_5
2455,SATISFACTORY,2022-02-01 16:01:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.04,66.71,14.04,275.86,36.16,0.63,18.06,32.18,395.61,76.39,1.22,25.61,0.93,73.815409,18.501802,Karve Statue Square_5
2493,SATISFACTORY,2022-02-01 16:16:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.04,61.26,13.07,274.07,35.11,0.46,15.08,32.45,393.46,76.91,1.2,25.29,0.93,73.815409,18.501802,Karve Statue Square_5
2536,SATISFACTORY,2022-02-01 16:31:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/7bd8af4f-99bf-2f69-996c-5fde241fb29a,62.0,0.03,53.23,12.58,275.66,40.54,0.59,21.85,32.57,376.99,77.22,1.38,25.2,0.93,73.815409,18.501802,Karve Statue Square_5
