index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
198,SATISFACTORY,2022-02-01 00:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,5.13,2.67,92.91,8.41,0.65,97.21,20.23,1.21,72.48,2.79,64.08,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
243,SATISFACTORY,2022-02-01 01:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,6.24,5.06,84.88,15.02,0.47,95.7,20.25,1.17,72.62,2.6,63.84,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
277,SATISFACTORY,2022-02-01 01:16:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,6.6,4.93,81.05,13.61,0.41,93.67,20.21,1.25,72.71,2.18,63.8,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
327,SATISFACTORY,2022-02-01 01:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,6.58,5.09,77.25,12.79,0.37,91.41,19.97,1.25,72.69,2.07,64.81,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
364,SATISFACTORY,2022-02-01 01:46:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,6.56,4.8,73.67,11.9,0.35,89.3,19.74,1.13,72.72,2.13,65.94,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
399,SATISFACTORY,2022-02-01 02:01:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,5.48,4.78,73.4,13.26,0.37,88.0,19.63,1.08,72.69,1.99,66.07,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
444,SATISFACTORY,2022-02-01 02:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,5.05,5.79,74.61,16.19,0.39,86.17,19.68,1.03,72.73,1.88,65.46,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
463,SATISFACTORY,2022-02-01 02:31:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,4.91,5.81,74.97,14.93,0.41,84.61,19.83,1.03,72.82,1.8,64.78,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
497,SATISFACTORY,2022-02-01 02:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,4.32,5.1,71.82,12.62,0.39,82.91,19.7,1.04,72.72,1.71,65.08,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
540,SATISFACTORY,2022-02-01 03:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d3f2fcf3-24de-0fb6-7b74-0d7b3fa0467d,86.0,0.0,5.96,4.62,63.63,11.18,0.35,79.96,19.42,1.05,72.58,1.77,66.24,0.93,73.795248,18.508049,Kothrud PMPML BusDepot_48
