index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
30778,SATISFACTORY,2022-02-09 11:46:35+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,61.0,0.16,132.09,17.72,0.0,29.65,1.09,0.0,24.61,4850.22,82.44,0.0,44.96,0.93,73.888922,18.485643,Lullanagar_Square_14
30821,SATISFACTORY,2022-02-09 12:01:34+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,61.0,0.16,127.63,15.68,0.0,30.99,0.91,0.0,25.27,4636.28,82.58,0.0,41.18,0.93,73.888922,18.485643,Lullanagar_Square_14
30866,SATISFACTORY,2022-02-09 12:16:35+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,61.0,0.17,124.23,14.42,0.0,28.51,0.68,0.0,25.87,4470.85,82.57,0.0,40.08,0.93,73.888922,18.485643,Lullanagar_Square_14
30903,SATISFACTORY,2022-02-09 12:31:35+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,80.0,0.17,122.04,12.59,0.0,25.46,0.77,0.0,26.63,4281.18,82.22,0.0,38.62,0.93,73.888922,18.485643,Lullanagar_Square_14
30939,SATISFACTORY,2022-02-09 12:46:34+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,80.0,0.18,116.78,14.56,0.0,29.42,0.91,0.0,27.25,4134.87,82.15,0.01,36.47,0.93,73.888922,18.485643,Lullanagar_Square_14
30975,SATISFACTORY,2022-02-09 13:01:33+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,80.0,0.18,116.99,15.25,0.0,29.0,0.75,0.0,27.66,4096.37,82.27,0.01,35.69,0.93,73.888922,18.485643,Lullanagar_Square_14
31016,SATISFACTORY,2022-02-09 13:16:33+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,80.0,0.27,118.79,13.36,0.0,26.9,0.69,0.0,28.53,4039.3,81.92,0.0,34.96,0.93,73.888922,18.485643,Lullanagar_Square_14
31060,SATISFACTORY,2022-02-09 13:31:34+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,96.0,0.51,115.16,14.99,0.0,35.61,0.84,0.0,29.59,3995.16,81.94,0.0,33.59,0.93,73.888922,18.485643,Lullanagar_Square_14
31098,SATISFACTORY,2022-02-09 13:46:34+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,96.0,0.64,105.66,16.89,0.0,36.78,0.81,0.0,30.18,3914.44,82.1,0.0,32.41,0.93,73.888922,18.485643,Lullanagar_Square_14
31131,SATISFACTORY,2022-02-09 14:01:32+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,96.0,0.54,103.61,15.42,0.0,27.98,0.63,0.0,30.54,3838.53,82.37,0.0,31.94,0.93,73.888922,18.485643,Lullanagar_Square_14
31173,SATISFACTORY,2022-02-09 14:16:34+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,96.0,0.45,102.04,12.64,0.0,25.28,0.62,0.82,30.91,3786.48,82.43,0.0,31.35,0.93,73.888922,18.485643,Lullanagar_Square_14
31375,MODERATE,2022-02-09 15:31:37+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,117.0,0.11,61.54,4.9,0.0,21.23,0.72,18.28,29.83,3664.33,82.11,0.08,32.45,0.93,73.888922,18.485643,Lullanagar_Square_14
31412,MODERATE,2022-02-09 15:46:36+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,117.0,0.1,64.69,8.77,0.0,25.68,0.68,15.81,29.84,3664.6,81.51,0.09,32.77,0.93,73.888922,18.485643,Lullanagar_Square_14
