index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2394,MODERATE,2022-02-01 15:46:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,114.0,0.3,97.37,16.05,1.06,34.7,1.17,50.57,31.99,3913.22,78.66,0.0,23.67,0.93,73.857307,18.489599,Market Yard Junction_02
5220,SATISFACTORY,2022-02-02 09:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,51.0,0.19,42.59,0.0,54.0,0.0,2.16,46.14,26.37,47996.94,81.94,0.0,50.34,0.94,73.857307,18.489599,Market Yard Junction_02
5260,SATISFACTORY,2022-02-02 09:16:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,51.0,0.25,44.82,24.21,58.52,42.12,2.36,47.08,26.54,46453.33,81.09,0.21,49.87,0.94,73.857307,18.489599,Market Yard Junction_02
5499,MODERATE,2022-02-02 10:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,103.0,0.97,82.27,48.08,7.52,77.22,1.79,20.57,31.6,37292.73,79.41,0.04,34.43,0.94,73.857307,18.489599,Market Yard Junction_02
5539,MODERATE,2022-02-02 11:01:24+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,103.0,0.97,79.83,47.87,9.0,75.5,1.85,17.34,32.33,33968.81,81.3,0.04,31.74,0.94,73.857307,18.489599,Market Yard Junction_02
5582,MODERATE,2022-02-02 11:16:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,103.0,0.8,87.0,39.67,3.58,63.71,1.31,9.0,32.98,29806.68,81.88,0.0,29.35,0.94,73.857307,18.489599,Market Yard Junction_02
5629,SATISFACTORY,2022-02-02 11:31:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,98.0,0.74,91.49,32.55,0.0,58.87,1.15,6.34,33.23,25429.02,80.55,0.01,28.25,0.94,73.857307,18.489599,Market Yard Junction_02
5666,SATISFACTORY,2022-02-02 11:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,98.0,1.05,89.83,27.19,0.1,51.1,1.43,13.4,33.39,21438.34,79.97,0.04,28.0,0.93,73.857307,18.489599,Market Yard Junction_02
5704,SATISFACTORY,2022-02-02 12:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,98.0,1.44,88.07,25.73,0.38,46.16,1.4,18.94,33.59,17765.59,78.87,0.04,27.74,0.93,73.857307,18.489599,Market Yard Junction_02
5745,SATISFACTORY,2022-02-02 12:16:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,98.0,1.17,92.92,23.15,0.28,44.17,1.19,19.28,33.87,14437.02,77.79,0.01,27.48,0.93,73.857307,18.489599,Market Yard Junction_02
5786,SATISFACTORY,2022-02-02 12:31:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.74,101.92,23.87,0.0,40.71,1.06,18.55,34.0,11807.93,77.0,0.03,27.52,0.93,73.857307,18.489599,Market Yard Junction_02
5829,SATISFACTORY,2022-02-02 12:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.67,100.95,25.93,0.0,47.25,1.21,26.2,33.91,9474.75,75.77,0.07,27.84,0.93,73.857307,18.489599,Market Yard Junction_02
5872,SATISFACTORY,2022-02-02 13:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.64,102.74,24.79,0.0,48.71,1.29,32.59,34.04,8168.03,74.44,0.06,27.91,0.93,73.857307,18.489599,Market Yard Junction_02
5915,SATISFACTORY,2022-02-02 13:16:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.61,113.9,23.72,0.0,41.73,1.12,31.14,34.4,7817.24,73.62,0.03,27.57,0.93,73.857307,18.489599,Market Yard Junction_02
5956,SATISFACTORY,2022-02-02 13:31:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.59,122.28,21.86,0.01,39.26,1.07,31.25,34.7,7316.81,73.75,0.12,27.21,0.93,73.857307,18.489599,Market Yard Junction_02
5998,SATISFACTORY,2022-02-02 13:46:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.57,121.21,19.0,0.01,36.54,1.2,34.25,34.66,6851.36,73.87,0.15,27.06,0.93,73.857307,18.489599,Market Yard Junction_02
6037,SATISFACTORY,2022-02-02 14:01:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.54,115.82,18.45,0.0,35.53,1.33,37.4,34.53,6674.54,73.76,0.11,26.99,0.93,73.857307,18.489599,Market Yard Junction_02
6128,SATISFACTORY,2022-02-02 14:31:26+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,88.0,0.47,100.42,9.59,0.0,20.19,0.91,37.45,33.24,5157.03,70.89,0.0,28.16,0.93,73.857307,18.489599,Market Yard Junction_02
6808,SATISFACTORY,2022-02-02 18:46:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,81.0,0.0,39.75,20.66,1.45,48.96,0.94,49.81,29.04,36.62,79.45,0.0,36.65,0.93,73.857307,18.489599,Market Yard Junction_02
6848,SATISFACTORY,2022-02-02 19:01:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,81.0,0.0,37.92,23.93,6.68,52.88,0.92,53.14,28.39,8.59,77.6,0.0,38.29,0.93,73.857307,18.489599,Market Yard Junction_02
6898,SATISFACTORY,2022-02-02 19:16:26+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,81.0,0.0,34.2,29.91,10.35,59.46,1.06,57.91,27.77,8.03,76.24,0.01,40.08,0.93,73.857307,18.489599,Market Yard Junction_02
6937,SATISFACTORY,2022-02-02 19:31:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,81.0,0.0,30.4,30.6,13.04,62.17,1.25,64.15,27.25,7.91,75.89,0.01,41.98,0.93,73.857307,18.489599,Market Yard Junction_02
6987,SATISFACTORY,2022-02-02 19:46:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,73.0,0.0,30.72,26.58,15.7,56.68,1.33,69.03,26.85,7.76,77.08,0.03,44.16,0.93,73.857307,18.489599,Market Yard Junction_02
7028,SATISFACTORY,2022-02-02 20:01:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,73.0,0.0,33.85,21.31,14.51,46.87,1.31,71.16,26.52,7.64,76.96,0.05,46.92,0.93,73.857307,18.489599,Market Yard Junction_02
7072,SATISFACTORY,2022-02-02 20:16:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,73.0,0.0,36.17,21.93,12.97,47.55,1.24,71.57,26.2,7.51,74.55,0.02,49.45,0.93,73.857307,18.489599,Market Yard Junction_02
7121,SATISFACTORY,2022-02-02 20:31:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,73.0,0.0,34.05,26.72,14.13,50.75,1.27,72.91,25.87,7.44,78.33,0.0,51.29,0.93,73.857307,18.489599,Market Yard Junction_02
7162,SATISFACTORY,2022-02-02 20:46:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,64.0,0.0,32.73,25.96,15.33,46.89,1.32,73.72,25.56,7.35,82.83,0.0,52.73,0.93,73.857307,18.489599,Market Yard Junction_02
7204,SATISFACTORY,2022-02-02 21:01:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,64.0,0.0,32.9,24.19,15.04,43.1,1.28,72.67,25.24,7.13,82.61,0.0,53.86,0.93,73.857307,18.489599,Market Yard Junction_02
7243,SATISFACTORY,2022-02-02 21:16:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c37c6979-6802-4a1c-c852-609b7706f5ba,64.0,0.0,33.18,23.35,14.24,42.75,1.19,70.53,24.91,6.88,80.75,0.0,54.81,0.93,73.857307,18.489599,Market Yard Junction_02
