index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
322,SATISFACTORY,2022-02-01 01:31:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,68.0,0.0,53.39,0.02,121.42,0.03,1.5,45.24,18.18,6.03,59.53,0.0,70.76,0.94,73.932849,18.532871,Mundhwa Road Junction_51
358,SATISFACTORY,2022-02-01 01:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,71.0,0.0,45.46,0.03,109.57,0.04,1.19,45.38,18.01,5.97,59.51,0.0,71.62,0.94,73.932849,18.532871,Mundhwa Road Junction_51
395,SATISFACTORY,2022-02-01 02:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,71.0,0.0,41.26,0.02,105.48,0.03,1.09,45.38,17.79,5.99,59.52,0.0,72.75,0.94,73.932849,18.532871,Mundhwa Road Junction_51
434,SATISFACTORY,2022-02-01 02:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,71.0,0.0,37.4,0.0,108.14,0.0,1.07,45.38,17.5,5.96,59.55,0.0,74.24,0.95,73.932849,18.532871,Mundhwa Road Junction_51
656,SATISFACTORY,2022-02-01 03:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,71.0,0.0,30.97,0.0,85.56,0.0,0.89,45.83,16.59,5.23,59.62,0.0,78.02,0.95,73.932849,18.532871,Mundhwa Road Junction_51
691,SATISFACTORY,2022-02-01 04:01:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,71.0,0.0,28.33,0.0,84.44,0.0,0.91,45.87,16.29,5.06,59.62,0.35,78.98,0.95,73.932849,18.532871,Mundhwa Road Junction_51
733,SATISFACTORY,2022-02-01 04:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,71.0,0.0,25.13,0.02,84.44,0.02,1.17,45.87,16.03,5.21,59.62,0.97,79.94,0.95,73.932849,18.532871,Mundhwa Road Junction_51
772,SATISFACTORY,2022-02-01 04:31:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,71.0,0.0,28.51,0.01,95.1,0.01,1.45,45.71,15.95,5.32,59.65,0.61,80.68,0.95,73.932849,18.532871,Mundhwa Road Junction_51
1346,SATISFACTORY,2022-02-01 08:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,91.0,0.03,45.44,0.05,152.13,0.07,3.28,45.1,19.85,7199.85,59.88,1.72,67.29,0.94,73.932849,18.532871,Mundhwa Road Junction_51
1382,SATISFACTORY,2022-02-01 09:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,91.0,0.04,56.65,0.06,166.76,0.08,3.67,44.48,22.03,7412.57,59.85,2.54,61.16,0.94,73.932849,18.532871,Mundhwa Road Junction_51
1414,SATISFACTORY,2022-02-01 09:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,91.0,0.05,66.05,0.04,167.28,0.05,3.55,43.86,23.82,7360.79,59.85,2.58,56.07,0.94,73.932849,18.532871,Mundhwa Road Junction_51
1927,MODERATE,2022-02-01 12:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,101.0,0.17,79.81,0.11,103.44,0.14,0.99,40.74,34.35,5625.51,59.72,0.49,21.18,0.92,73.932849,18.532871,Mundhwa Road Junction_51
1973,MODERATE,2022-02-01 13:01:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f40c0b8e-248f-9f62-414e-7e2a7065d53e,101.0,0.17,83.24,0.11,113.66,0.14,1.1,40.64,34.62,5706.3,59.69,0.68,21.07,0.92,73.932849,18.532871,Mundhwa Road Junction_51
