index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
5,SATISFACTORY,2022-01-31 23:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,96.0,0.0,2.46,6.28,386.34,8.92,1.52,91.96,23.21,9.84,79.63,0.0,56.57,0.94,73.831273,18.508766,Nalstop_Square_7
40,SATISFACTORY,2022-01-31 23:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,7.19,4.98,376.82,6.23,1.31,87.32,22.93,7.84,78.49,0.0,57.15,0.94,73.831273,18.508766,Nalstop_Square_7
83,SATISFACTORY,2022-02-01 00:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,8.47,4.26,370.08,5.33,1.03,83.33,22.64,3.79,77.84,0.0,57.86,0.94,73.831273,18.508766,Nalstop_Square_7
118,SATISFACTORY,2022-02-01 00:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,7.78,4.02,367.28,5.03,0.95,83.77,22.43,1.9,78.18,0.0,58.41,0.94,73.831273,18.508766,Nalstop_Square_7
154,SATISFACTORY,2022-02-01 00:31:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,15.47,3.66,360.87,4.61,0.74,76.5,22.22,1.96,77.74,0.0,59.05,0.94,73.831273,18.508766,Nalstop_Square_7
192,SATISFACTORY,2022-02-01 00:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,18.23,3.48,359.3,4.44,0.59,70.23,22.02,2.0,74.41,0.0,59.81,0.94,73.831273,18.508766,Nalstop_Square_7
233,SATISFACTORY,2022-02-01 01:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,15.14,3.64,358.99,4.63,0.65,71.61,21.82,1.85,73.25,0.0,60.61,0.94,73.831273,18.508766,Nalstop_Square_7
274,SATISFACTORY,2022-02-01 01:16:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,14.83,3.79,356.08,4.79,0.65,71.5,21.63,1.73,73.76,0.0,61.1,0.94,73.831273,18.508766,Nalstop_Square_7
324,SATISFACTORY,2022-02-01 01:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,95.0,0.0,17.82,3.82,355.34,4.82,0.52,65.53,21.39,1.72,73.81,0.0,61.49,0.94,73.831273,18.508766,Nalstop_Square_7
367,SATISFACTORY,2022-02-01 01:46:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,96.0,0.0,18.9,3.38,353.11,4.32,0.45,64.05,21.04,1.71,71.8,0.0,62.22,0.94,73.831273,18.508766,Nalstop_Square_7
401,SATISFACTORY,2022-02-01 02:01:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,96.0,0.0,14.5,4.38,349.64,5.87,0.42,64.21,20.78,1.73,67.89,0.0,62.97,0.94,73.831273,18.508766,Nalstop_Square_7
441,SATISFACTORY,2022-02-01 02:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a841398a-4739-72ff-497a-a439364f459a,96.0,0.0,13.23,4.14,351.45,5.55,0.47,62.82,20.64,1.73,68.02,0.0,63.51,0.94,73.831273,18.508766,Nalstop_Square_7
