index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
9,SATISFACTORY,2022-01-31 23:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,55.0,0.0,31.28,19.17,223.34,38.75,0.89,52.76,20.06,21.1,65.46,4.51,65.39,0.93,73.801601,18.456863,Nanded City Entry_42
49,SATISFACTORY,2022-01-31 23:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,33.18,22.68,234.32,40.47,0.98,45.79,19.66,20.65,64.46,4.74,67.12,0.93,73.801601,18.456863,Nanded City Entry_42
92,SATISFACTORY,2022-02-01 00:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,37.47,18.26,235.78,32.84,0.84,38.98,19.19,20.36,63.65,4.02,68.1,0.93,73.801601,18.456863,Nanded City Entry_42
122,SATISFACTORY,2022-02-01 00:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,40.42,13.73,227.31,27.21,0.65,36.98,18.92,20.25,63.85,3.3,67.99,0.93,73.801601,18.456863,Nanded City Entry_42
166,SATISFACTORY,2022-02-01 00:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,44.22,10.34,223.26,20.42,0.52,34.57,18.73,20.27,63.67,2.96,68.52,0.93,73.801601,18.456863,Nanded City Entry_42
203,SATISFACTORY,2022-02-01 00:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,52.0,0.0,47.66,12.2,225.04,19.61,0.46,30.68,18.54,20.21,62.96,2.86,69.31,0.93,73.801601,18.456863,Nanded City Entry_42
237,SATISFACTORY,2022-02-01 01:01:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,52.0,0.0,47.95,12.44,229.2,18.37,0.43,29.13,18.36,20.11,62.91,2.74,70.1,0.93,73.801601,18.456863,Nanded City Entry_42
282,SATISFACTORY,2022-02-01 01:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,52.0,0.0,45.93,8.56,234.28,13.92,0.38,30.9,18.15,20.23,62.63,2.59,71.53,0.93,73.801601,18.456863,Nanded City Entry_42
334,SATISFACTORY,2022-02-01 01:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,52.0,0.0,45.64,8.74,240.68,17.15,0.39,31.36,18.0,20.53,62.04,2.6,72.44,0.93,73.801601,18.456863,Nanded City Entry_42
372,SATISFACTORY,2022-02-01 01:46:35+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,46.98,14.04,247.55,22.4,0.45,28.85,17.92,20.41,62.06,2.83,72.89,0.93,73.801601,18.456863,Nanded City Entry_42
413,SATISFACTORY,2022-02-01 02:01:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,46.53,18.32,255.63,24.54,0.47,27.59,17.79,20.35,61.96,2.86,73.78,0.93,73.801601,18.456863,Nanded City Entry_42
450,SATISFACTORY,2022-02-01 02:16:31+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,45.91,13.86,252.77,19.02,0.42,26.98,17.52,20.32,61.92,2.7,75.27,0.93,73.801601,18.456863,Nanded City Entry_42
461,SATISFACTORY,2022-02-01 02:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,46.24,10.83,226.2,15.76,0.39,26.28,17.22,20.36,61.99,2.62,77.06,0.93,73.801601,18.456863,Nanded City Entry_42
502,SATISFACTORY,2022-02-01 02:46:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,50.0,0.0,45.21,10.69,193.15,15.49,0.38,27.37,17.02,20.48,61.93,2.61,78.28,0.93,73.801601,18.456863,Nanded City Entry_42
533,SATISFACTORY,2022-02-01 03:01:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,50.0,0.0,43.16,6.95,149.62,10.33,0.34,29.39,16.82,20.25,61.92,2.56,79.39,0.93,73.801601,18.456863,Nanded City Entry_42
574,SATISFACTORY,2022-02-01 03:16:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,50.0,0.0,44.4,7.61,116.85,12.18,0.33,27.4,16.66,20.4,61.78,2.54,79.8,0.93,73.801601,18.456863,Nanded City Entry_42
609,SATISFACTORY,2022-02-01 03:31:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,50.0,0.0,44.88,11.39,112.97,18.67,0.36,25.5,16.46,20.64,61.69,2.51,79.5,0.93,73.801601,18.456863,Nanded City Entry_42
670,SATISFACTORY,2022-02-01 03:46:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,41.93,9.94,102.76,16.57,0.33,27.54,16.26,20.57,61.86,2.44,79.89,0.93,73.801601,18.456863,Nanded City Entry_42
707,SATISFACTORY,2022-02-01 04:01:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/52e11fbe-2458-987f-b756-8c5cab1f051e,51.0,0.0,42.34,6.84,82.9,11.34,0.31,26.99,16.07,20.54,62.5,2.38,81.37,0.93,73.801601,18.456863,Nanded City Entry_42
