index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
18,MODERATE,2022-01-31 23:31:28+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,139.0,0.0,0.0,109.85,878.82,187.92,2.61,107.63,22.55,2.56,62.92,0.0,57.8,0.94,73.927285,18.502712,Noble Hospital junction_35
59,MODERATE,2022-01-31 23:46:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,134.0,0.0,0.16,108.51,882.88,187.91,2.54,112.39,22.26,2.46,63.03,0.04,58.75,0.94,73.927285,18.502712,Noble Hospital junction_35
99,MODERATE,2022-02-01 00:01:28+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,134.0,0.0,0.16,102.83,874.61,171.54,2.4,105.31,22.0,2.08,61.56,0.04,59.52,0.94,73.927285,18.502712,Noble Hospital junction_35
135,MODERATE,2022-02-01 00:16:31+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,134.0,0.0,0.0,101.62,869.8,165.05,2.18,95.23,21.65,1.91,61.47,0.0,60.36,0.94,73.927285,18.502712,Noble Hospital junction_35
174,MODERATE,2022-02-01 00:31:30+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,134.0,0.0,0.0,100.58,873.9,162.63,2.04,93.56,21.35,1.87,60.95,0.0,61.28,0.94,73.927285,18.502712,Noble Hospital junction_35
212,MODERATE,2022-02-01 00:46:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,102.15,873.73,165.85,1.99,89.46,21.19,1.82,60.2,0.0,62.18,0.94,73.927285,18.502712,Noble Hospital junction_35
249,MODERATE,2022-02-01 01:01:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,115.03,873.25,190.72,1.96,85.82,21.08,1.8,60.23,0.0,62.75,0.93,73.927285,18.502712,Noble Hospital junction_35
289,MODERATE,2022-02-01 01:16:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,118.17,876.56,201.54,1.99,87.35,20.96,1.79,60.54,0.0,63.31,0.93,73.927285,18.502712,Noble Hospital junction_35
309,MODERATE,2022-02-01 01:31:26+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,106.87,877.32,180.98,1.89,87.96,20.72,1.77,60.04,0.0,64.26,0.93,73.927285,18.502712,Noble Hospital junction_35
345,MODERATE,2022-02-01 01:46:28+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,100.34,863.87,166.99,1.58,78.38,20.5,1.77,59.33,0.0,64.94,0.93,73.927285,18.502712,Noble Hospital junction_35
385,MODERATE,2022-02-01 02:01:26+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,87.44,838.05,139.07,1.16,63.73,20.4,1.8,59.58,0.0,64.85,0.93,73.927285,18.502712,Noble Hospital junction_35
424,MODERATE,2022-02-01 02:16:25+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,81.86,828.7,127.49,1.0,57.44,20.35,1.78,59.4,0.0,64.83,0.93,73.927285,18.502712,Noble Hospital junction_35
467,MODERATE,2022-02-01 02:31:27+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/db3d6ea0-a84a-b3d6-7ec9-71ae66736273,128.0,0.0,0.0,96.66,829.58,168.05,1.05,56.3,20.34,1.75,59.54,0.0,65.16,0.93,73.927285,18.502712,Noble Hospital junction_35
