index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
25,SATISFACTORY,2022-01-31 23:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,10.75,35.89,112.57,87.73,1.33,87.99,22.09,3.07,70.98,4.15,53.55,0.93,73.858556,18.447118,PMPML Katraj_Depot_New_26
66,SATISFACTORY,2022-01-31 23:46:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,9.32,37.79,111.63,98.77,1.3,87.6,21.83,2.68,69.84,3.98,53.8,0.93,73.858556,18.447118,PMPML Katraj_Depot_New_26
103,SATISFACTORY,2022-02-01 00:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,9.4,31.91,105.42,82.57,1.06,85.32,21.5,2.36,69.49,3.64,54.1,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
143,SATISFACTORY,2022-02-01 00:16:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,9.83,25.25,100.72,64.21,0.86,84.1,21.15,2.29,70.8,3.31,53.99,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
178,SATISFACTORY,2022-02-01 00:31:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,11.03,19.47,96.42,54.98,0.7,83.12,20.82,2.5,71.33,3.02,53.95,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
218,SATISFACTORY,2022-02-01 00:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,11.01,18.05,95.38,52.55,0.67,82.87,20.55,2.3,69.25,2.86,54.08,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
257,SATISFACTORY,2022-02-01 01:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,10.07,20.64,95.99,54.83,0.71,82.02,20.36,1.9,67.49,2.83,54.01,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
292,SATISFACTORY,2022-02-01 01:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,13.84,17.35,92.28,42.54,0.59,77.0,20.25,1.85,66.71,2.76,53.57,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
317,SATISFACTORY,2022-02-01 01:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,95.0,0.0,17.68,14.84,88.22,30.96,0.45,73.77,20.2,1.78,66.72,2.67,52.92,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
354,SATISFACTORY,2022-02-01 01:46:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,94.0,0.0,14.53,16.54,90.0,34.93,0.45,75.15,20.13,1.78,69.22,2.66,52.88,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
398,SATISFACTORY,2022-02-01 02:01:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,94.0,0.0,12.43,19.13,91.9,42.18,0.47,76.0,20.03,1.77,68.68,2.61,53.14,0.92,73.858556,18.447118,PMPML Katraj_Depot_New_26
