index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2284,SATISFACTORY,2022-02-01 15:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,70.0,0.45,56.92,19.28,0.0,33.14,0.87,42.09,30.81,3332.67,61.38,1.01,26.87,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
2320,SATISFACTORY,2022-02-01 15:16:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,70.0,0.42,52.67,20.0,0.0,35.81,0.91,46.03,30.94,3227.15,59.96,1.16,26.41,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
2357,SATISFACTORY,2022-02-01 15:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,70.0,0.38,61.57,18.33,0.0,34.76,0.72,40.15,31.06,3101.63,59.4,1.03,25.8,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
2519,SATISFACTORY,2022-02-01 16:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,70.0,0.22,37.57,15.06,0.0,30.56,1.16,47.65,31.65,2421.2,61.85,1.87,25.82,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
2558,SATISFACTORY,2022-02-01 16:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,72.0,0.18,37.24,13.81,0.0,29.7,1.07,44.48,31.58,2217.77,61.01,1.95,25.56,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
11349,SATISFACTORY,2022-02-04 00:01:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,63.0,0.0,9.91,23.64,0.0,37.34,0.58,49.33,20.47,8.87,61.44,2.59,72.43,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
11387,SATISFACTORY,2022-02-04 00:16:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,63.0,0.0,11.66,23.61,0.0,37.69,0.51,46.14,20.25,8.57,61.21,2.39,71.9,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
11431,SATISFACTORY,2022-02-04 00:32:12+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,63.0,0.0,13.72,22.41,0.0,36.62,0.41,45.47,20.05,8.45,61.21,2.26,71.84,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
11471,SATISFACTORY,2022-02-04 00:46:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,60.0,0.0,16.52,21.04,0.0,34.06,0.29,45.32,19.82,8.42,61.51,2.31,73.84,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
11513,SATISFACTORY,2022-02-04 01:01:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/c7b8f786-2f89-116f-d98d-8c54bfc7caaf,60.0,0.0,19.13,20.33,0.0,32.57,0.21,43.69,19.57,8.32,61.87,2.36,76.28,0.93,73.842727,18.516163,PMPML_Bus_Depot_Deccan_15
