index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
30851,SATISFACTORY,2022-02-09 12:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,89.0,1.2,68.53,44.87,256.33,98.0,0.31,0.0,27.99,21925.16,80.17,0.0,38.39,0.93,73.840366,18.509298,Ptrakar bhavn_72
30887,SATISFACTORY,2022-02-09 12:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,97.0,1.2,72.61,46.0,255.19,107.52,0.28,0.0,27.99,11774.99,80.14,0.0,38.51,0.93,73.840366,18.509298,Ptrakar bhavn_72
30921,SATISFACTORY,2022-02-09 12:46:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,97.0,1.2,73.49,50.87,256.66,114.71,0.26,0.0,28.06,7499.94,80.25,0.0,38.97,0.93,73.840366,18.509298,Ptrakar bhavn_72
30963,SATISFACTORY,2022-02-09 13:01:29+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,97.0,1.2,73.8,51.56,254.11,108.12,0.32,0.0,28.5,7328.78,80.38,0.0,38.57,0.93,73.840366,18.509298,Ptrakar bhavn_72
31000,SATISFACTORY,2022-02-09 13:16:29+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,97.0,1.21,77.67,48.74,255.95,107.65,0.3,0.0,28.99,7225.54,80.02,0.0,37.34,0.93,73.840366,18.509298,Ptrakar bhavn_72
31042,SATISFACTORY,2022-02-09 13:31:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,97.0,1.21,82.46,50.72,259.2,109.47,0.23,0.0,29.47,7143.84,79.72,0.0,36.0,0.93,73.840366,18.509298,Ptrakar bhavn_72
31083,MODERATE,2022-02-09 13:46:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,100.0,1.19,79.57,49.78,255.5,108.96,0.24,0.0,30.14,7081.43,79.56,0.0,34.56,0.93,73.840366,18.509298,Ptrakar bhavn_72
31119,MODERATE,2022-02-09 14:01:29+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,100.0,1.18,74.5,45.93,257.06,107.92,0.24,0.0,30.93,7046.69,79.03,0.0,32.46,0.93,73.840366,18.509298,Ptrakar bhavn_72
31161,MODERATE,2022-02-09 14:16:30+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,100.0,1.15,72.53,42.48,253.4,103.07,0.22,0.0,31.54,7027.43,78.88,0.0,29.9,0.93,73.840366,18.509298,Ptrakar bhavn_72
31195,SATISFACTORY,2022-02-09 14:31:29+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/64131670-4db5-8b9b-6a81-7ddc23f176fd,99.0,1.12,71.15,42.61,244.84,97.95,0.21,0.0,31.99,7024.97,79.16,0.0,28.59,0.93,73.840366,18.509298,Ptrakar bhavn_72
