index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2204,SATISFACTORY,2022-02-01 14:16:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,76.0,0.41,90.67,26.79,214.31,49.9,0.45,32.65,33.2,2730.73,80.9,0.0,24.76,0.93,73.874251,18.528387,Pune Railway Station_28
2231,SATISFACTORY,2022-02-01 14:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,76.0,0.38,75.11,16.84,218.85,39.61,0.54,41.32,33.2,2730.73,80.9,0.0,24.76,0.93,73.874251,18.528387,Pune Railway Station_28
4767,POOR,2022-02-02 06:01:30+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,251.0,0.0,6.34,38.61,193.89,64.53,0.49,54.91,18.26,5.13,76.38,0.0,68.15,0.94,73.874251,18.528387,Pune Railway Station_28
4813,POOR,2022-02-02 06:16:31+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,251.0,0.0,6.71,31.41,193.35,53.16,0.48,54.78,18.24,4.82,76.97,0.0,68.33,0.94,73.874251,18.528387,Pune Railway Station_28
4854,POOR,2022-02-02 06:31:31+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,246.0,0.0,1.91,33.6,201.85,53.74,0.62,61.07,18.2,4.73,78.75,0.0,68.61,0.94,73.874251,18.528387,Pune Railway Station_28
4885,POOR,2022-02-02 06:46:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,246.0,0.0,0.16,47.54,213.73,70.17,0.82,64.06,18.14,6.5,80.78,0.0,68.97,0.94,73.874251,18.528387,Pune Railway Station_28
4925,POOR,2022-02-02 07:01:28+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,246.0,0.0,0.0,65.16,214.01,96.51,0.88,59.6,18.04,23.27,80.43,0.0,69.36,0.94,73.874251,18.528387,Pune Railway Station_28
4959,POOR,2022-02-02 07:16:28+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,246.0,0.0,0.0,67.25,213.79,101.8,0.86,60.52,18.0,85.5,79.73,0.0,69.37,0.94,73.874251,18.528387,Pune Railway Station_28
4996,POOR,2022-02-02 07:31:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,244.0,0.0,0.0,66.4,217.92,98.1,0.93,67.66,18.07,208.0,80.41,0.0,69.22,0.94,73.874251,18.528387,Pune Railway Station_28
5039,POOR,2022-02-02 07:46:29+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b3ec32ff-fa7d-64fa-c0af-272e25d314e9,244.0,0.01,0.02,61.82,223.93,90.24,0.95,68.55,18.36,501.38,81.01,0.0,68.83,0.94,73.874251,18.528387,Pune Railway Station_28
