index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
6847,MODERATE,2022-02-02 19:01:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,119.0,0.0,0.0,48.84,216.23,106.99,1.6,89.78,29.51,1.98,74.28,0.58,37.08,0.94,73.872384,18.527615,Pune_ST_Stand_40
6894,MODERATE,2022-02-02 19:16:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,119.0,0.0,0.06,49.84,220.85,118.4,1.89,91.92,29.3,1.99,73.97,1.23,38.0,0.94,73.872384,18.527615,Pune_ST_Stand_40
6940,MODERATE,2022-02-02 19:31:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,119.0,0.0,0.06,49.21,220.95,118.84,2.06,95.41,28.87,2.0,73.91,2.02,39.66,0.94,73.872384,18.527615,Pune_ST_Stand_40
6986,MODERATE,2022-02-02 19:46:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,108.0,0.0,0.0,52.87,220.01,114.17,2.0,97.1,28.43,2.02,76.12,1.72,41.01,0.94,73.872384,18.527615,Pune_ST_Stand_40
7033,MODERATE,2022-02-02 20:01:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,108.0,0.0,0.0,62.81,232.76,136.9,2.69,101.69,27.98,2.07,75.53,2.25,42.56,0.94,73.872384,18.527615,Pune_ST_Stand_40
7077,MODERATE,2022-02-02 20:16:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,108.0,0.0,0.0,73.5,241.43,164.18,3.32,108.85,27.48,2.12,73.42,3.59,44.44,0.94,73.872384,18.527615,Pune_ST_Stand_40
7154,MODERATE,2022-02-02 20:31:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,108.0,0.0,0.0,75.14,248.7,168.2,3.46,112.77,27.01,2.11,73.89,4.16,46.25,0.94,73.872384,18.527615,Pune_ST_Stand_40
7191,MODERATE,2022-02-02 20:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,105.0,0.0,0.0,68.64,254.78,155.94,3.57,114.46,26.67,2.08,73.32,4.48,47.64,0.94,73.872384,18.527615,Pune_ST_Stand_40
7237,MODERATE,2022-02-02 21:01:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,105.0,0.0,0.0,74.82,246.93,161.78,3.3,117.75,26.33,2.02,72.25,3.88,48.89,0.94,73.872384,18.527615,Pune_ST_Stand_40
7275,MODERATE,2022-02-02 21:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,105.0,0.0,0.0,73.32,236.18,156.0,2.9,123.03,25.91,1.98,71.31,2.91,50.48,0.94,73.872384,18.527615,Pune_ST_Stand_40
