index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
93163,VERY_POOR,2021-12-31 23:31:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,368.0,0.0,0.19,201.25,0.0,287.86,2.77,63.48,20.17,2.06,77.6,0.0,78.14,0.94,73.828573,18.541967,Pune_University_22
93206,VERY_POOR,2021-12-31 23:46:11+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,366.0,0.0,0.12,210.39,0.0,295.53,2.82,55.98,20.28,1.88,77.92,0.03,78.31,0.94,73.828573,18.541967,Pune_University_22
93242,VERY_POOR,2022-01-01 00:01:11+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,366.0,0.0,0.01,203.64,0.0,285.31,2.94,56.35,20.25,1.57,77.5,0.03,78.48,0.94,73.828573,18.541967,Pune_University_22
93284,VERY_POOR,2022-01-01 00:16:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,366.0,0.0,0.02,199.57,0.0,276.93,2.94,61.67,19.97,1.41,77.82,0.0,78.91,0.94,73.828573,18.541967,Pune_University_22
93325,VERY_POOR,2022-01-01 00:31:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,366.0,0.0,0.01,200.74,0.0,282.74,3.09,64.65,19.87,1.42,78.56,0.0,79.1,0.94,73.828573,18.541967,Pune_University_22
93366,VERY_POOR,2022-01-01 00:46:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,365.0,0.0,0.0,220.76,0.0,305.79,3.03,57.4,20.02,1.46,78.32,0.0,78.98,0.94,73.828573,18.541967,Pune_University_22
93405,VERY_POOR,2022-01-01 01:01:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,365.0,0.0,0.0,241.76,0.0,330.14,2.94,50.65,20.14,1.51,77.59,0.0,79.03,0.94,73.828573,18.541967,Pune_University_22
93449,VERY_POOR,2022-01-01 01:16:13+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,365.0,0.0,0.0,234.04,0.0,326.65,3.08,54.45,20.15,1.47,77.96,0.0,78.95,0.94,73.828573,18.541967,Pune_University_22
93488,VERY_POOR,2022-01-01 01:31:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,365.0,0.0,0.0,223.52,0.0,319.08,3.12,59.75,20.04,1.28,78.89,0.0,78.92,0.94,73.828573,18.541967,Pune_University_22
93531,VERY_POOR,2022-01-01 01:46:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,233.52,0.0,333.11,3.09,60.1,19.85,1.04,78.65,0.0,79.1,0.94,73.828573,18.541967,Pune_University_22
93569,VERY_POOR,2022-01-01 02:01:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,241.73,0.0,349.04,3.03,58.67,19.61,0.97,77.69,0.0,79.52,0.94,73.828573,18.541967,Pune_University_22
93616,VERY_POOR,2022-01-01 02:16:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,242.32,0.0,354.99,2.83,57.07,19.43,1.1,77.85,0.0,79.84,0.94,73.828573,18.541967,Pune_University_22
93650,VERY_POOR,2022-01-01 02:31:11+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,240.28,0.0,351.46,2.68,55.76,19.35,1.08,78.6,0.0,79.87,0.94,73.828573,18.541967,Pune_University_22
93688,VERY_POOR,2022-01-01 02:46:09+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,237.6,0.0,347.74,2.73,56.12,19.34,0.86,77.63,0.0,79.71,0.94,73.828573,18.541967,Pune_University_22
93729,VERY_POOR,2022-01-01 03:01:10+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,236.55,0.0,349.06,2.72,55.55,19.31,0.83,77.59,0.0,79.69,0.94,73.828573,18.541967,Pune_University_22
93771,VERY_POOR,2022-01-01 03:16:10+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,229.77,0.0,338.72,2.37,51.76,19.16,0.77,78.31,0.0,80.08,0.94,73.828573,18.541967,Pune_University_22
93821,VERY_POOR,2022-01-01 03:31:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,222.89,0.0,322.72,1.97,48.66,18.95,0.73,78.14,0.0,80.49,0.94,73.828573,18.541967,Pune_University_22
93863,VERY_POOR,2022-01-01 03:46:11+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,218.97,0.0,313.91,1.77,46.87,18.77,0.73,78.2,0.0,80.85,0.94,73.828573,18.541967,Pune_University_22
93905,VERY_POOR,2022-01-01 04:01:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,217.54,0.0,306.7,1.64,41.93,18.59,0.73,77.89,0.0,81.34,0.94,73.828573,18.541967,Pune_University_22
93942,VERY_POOR,2022-01-01 04:16:11+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,211.52,0.0,303.51,1.54,38.34,18.47,0.74,77.1,0.0,81.7,0.94,73.828573,18.541967,Pune_University_22
93987,VERY_POOR,2022-01-01 04:31:15+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,364.0,0.0,0.0,204.15,0.0,300.6,1.45,37.54,18.5,0.78,77.17,0.0,81.59,0.94,73.828573,18.541967,Pune_University_22
94030,VERY_POOR,2022-01-01 04:46:11+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,362.0,0.0,0.0,199.37,0.0,290.86,1.23,34.79,18.47,0.77,76.16,0.0,81.49,0.94,73.828573,18.541967,Pune_University_22
94074,VERY_POOR,2022-01-01 05:01:13+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,362.0,0.0,0.0,189.03,0.0,272.96,0.99,33.52,18.23,0.71,75.14,0.0,82.03,0.94,73.828573,18.541967,Pune_University_22
94116,VERY_POOR,2022-01-01 05:16:14+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,362.0,0.0,0.0,176.9,0.0,248.74,0.87,34.64,18.03,0.72,76.92,0.0,82.56,0.94,73.828573,18.541967,Pune_University_22
94158,VERY_POOR,2022-01-01 05:31:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,362.0,0.0,0.0,158.35,0.0,229.23,0.92,36.07,18.02,0.77,78.92,0.0,82.41,0.94,73.828573,18.541967,Pune_University_22
94196,VERY_POOR,2022-01-01 05:46:11+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,359.0,0.0,0.0,150.45,0.0,219.92,1.0,34.6,17.9,0.8,78.89,0.0,82.51,0.94,73.828573,18.541967,Pune_University_22
94237,VERY_POOR,2022-01-01 06:01:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,359.0,0.0,0.0,153.0,0.0,217.45,1.12,32.71,17.69,0.85,77.49,0.0,83.02,0.94,73.828573,18.541967,Pune_University_22
94277,VERY_POOR,2022-01-01 06:16:12+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,359.0,0.0,0.0,150.69,0.0,222.41,1.39,34.8,17.64,1.03,76.63,0.0,83.19,0.94,73.828573,18.541967,Pune_University_22
94304,VERY_POOR,2022-01-01 06:31:09+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,359.0,0.0,0.0,154.11,0.0,221.01,1.64,38.72,17.68,1.27,76.05,0.0,83.08,0.94,73.828573,18.541967,Pune_University_22
94342,VERY_POOR,2022-01-01 06:46:08+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,357.0,0.0,0.0,156.93,0.0,215.78,1.67,40.6,17.72,8.13,75.14,0.0,82.82,0.94,73.828573,18.541967,Pune_University_22
94383,VERY_POOR,2022-01-01 07:01:08+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/978ed964-88ee-fbc8-2092-5e41065c6405,357.0,0.0,0.0,158.87,0.0,220.0,1.72,41.12,17.76,66.42,74.47,0.0,82.56,0.94,73.828573,18.541967,Pune_University_22
