index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
28,SATISFACTORY,2022-01-31 23:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,10.62,13.72,537.39,29.91,1.77,73.15,20.59,2.26,74.9,0.01,66.2,0.94,73.863397,18.529833,RTO Square_8
67,SATISFACTORY,2022-01-31 23:46:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,72.0,0.0,11.73,11.95,520.81,25.68,1.45,52.98,20.68,2.34,74.59,0.0,67.08,0.94,73.863397,18.529833,RTO Square_8
102,SATISFACTORY,2022-02-01 00:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,72.0,0.0,12.4,10.06,509.83,22.67,1.26,46.36,20.79,2.33,74.17,0.0,66.89,0.94,73.863397,18.529833,RTO Square_8
138,SATISFACTORY,2022-02-01 00:16:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,72.0,0.0,12.77,8.85,502.61,21.42,1.15,44.49,20.71,2.08,73.71,0.0,67.05,0.94,73.863397,18.529833,RTO Square_8
179,SATISFACTORY,2022-02-01 00:31:32+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,72.0,0.0,14.1,9.06,496.88,21.12,1.03,40.0,20.59,1.94,74.07,0.0,67.48,0.94,73.863397,18.529833,RTO Square_8
220,SATISFACTORY,2022-02-01 00:46:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,16.25,8.65,489.98,18.85,0.86,43.22,20.5,1.81,73.67,0.0,67.61,0.94,73.863397,18.529833,RTO Square_8
254,SATISFACTORY,2022-02-01 01:01:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,16.68,8.33,484.11,17.26,0.74,44.72,20.35,1.93,72.64,0.0,67.99,0.94,73.863397,18.529833,RTO Square_8
298,SATISFACTORY,2022-02-01 01:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,13.6,8.01,484.95,16.07,0.71,43.54,20.16,2.02,72.02,0.0,68.84,0.94,73.863397,18.529833,RTO Square_8
330,SATISFACTORY,2022-02-01 01:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,10.19,9.02,495.13,17.7,0.79,42.93,19.79,1.89,71.72,0.0,70.64,0.94,73.863397,18.529833,RTO Square_8
366,SATISFACTORY,2022-02-01 01:46:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,8.58,10.55,504.11,21.02,0.87,41.7,19.46,1.62,71.16,0.0,72.57,0.94,73.863397,18.529833,RTO Square_8
406,SATISFACTORY,2022-02-01 02:01:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,8.36,9.64,500.74,20.21,0.83,39.99,19.18,1.53,71.51,0.0,73.78,0.94,73.863397,18.529833,RTO Square_8
439,SATISFACTORY,2022-02-01 02:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0ede317b-62b5-86e2-de37-604271f37d73,71.0,0.0,10.57,7.88,484.3,15.87,0.67,38.14,18.89,1.44,71.78,0.0,74.05,0.94,73.863397,18.529833,RTO Square_8
