index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
35,SATISFACTORY,2022-01-31 23:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,82.0,0.0,11.3,44.59,368.28,101.53,1.11,38.31,21.25,1.31,76.69,0.53,58.42,0.94,73.766392,18.56857,Sadanand Hotel Square_39
74,SATISFACTORY,2022-01-31 23:46:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,10.35,39.87,369.44,88.6,1.08,37.77,20.86,1.3,76.55,0.56,60.1,0.94,73.766392,18.56857,Sadanand Hotel Square_39
108,SATISFACTORY,2022-02-01 00:01:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,10.59,39.73,369.1,88.18,1.09,37.05,20.5,1.3,75.79,0.51,61.38,0.94,73.766392,18.56857,Sadanand Hotel Square_39
144,SATISFACTORY,2022-02-01 00:16:35+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,10.41,41.67,370.99,91.43,1.14,35.19,20.21,1.3,75.01,0.51,62.31,0.94,73.766392,18.56857,Sadanand Hotel Square_39
187,SATISFACTORY,2022-02-01 00:31:34+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,9.85,42.15,369.56,87.95,1.14,32.01,19.96,1.3,75.07,0.44,63.14,0.94,73.766392,18.56857,Sadanand Hotel Square_39
225,SATISFACTORY,2022-02-01 00:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,9.62,45.51,363.68,118.85,1.04,30.18,19.69,1.31,75.34,0.33,64.02,0.94,73.766392,18.56857,Sadanand Hotel Square_39
262,SATISFACTORY,2022-02-01 01:01:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,9.44,72.72,358.85,196.55,0.93,28.97,19.38,1.31,75.46,0.36,65.03,0.93,73.766392,18.56857,Sadanand Hotel Square_39
300,SATISFACTORY,2022-02-01 01:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,9.23,75.28,356.0,179.71,0.9,27.22,19.1,1.3,74.88,0.38,65.91,0.93,73.766392,18.56857,Sadanand Hotel Square_39
331,SATISFACTORY,2022-02-01 01:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,81.0,0.0,9.33,49.86,350.99,102.94,0.9,27.16,18.82,1.29,74.69,0.31,66.43,0.93,73.766392,18.56857,Sadanand Hotel Square_39
374,SATISFACTORY,2022-02-01 01:46:35+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/763f8470-1fca-6f8b-3a8b-ee883a0c5f06,83.0,0.0,9.28,39.92,345.19,85.21,0.87,27.44,18.44,1.29,74.93,0.25,67.44,0.93,73.766392,18.56857,Sadanand Hotel Square_39
