index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
1,SATISFACTORY,2022-01-31 23:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,99.0,0.0,1.21,48.09,525.4,82.88,1.32,125.37,23.29,3.23,76.57,2.42,58.05,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
7,SATISFACTORY,2022-01-31 23:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,99.0,0.0,1.21,48.09,525.4,82.88,1.32,125.37,23.29,3.23,76.57,2.42,58.05,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
39,MODERATE,2022-01-31 23:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,2.16,46.1,521.73,78.79,1.21,123.15,23.25,3.16,76.08,2.33,58.36,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
41,MODERATE,2022-01-31 23:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,2.16,46.1,521.73,78.79,1.21,123.15,23.25,3.16,76.08,2.33,58.36,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
76,MODERATE,2022-02-01 00:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,7.38,41.87,517.04,70.7,0.99,115.13,23.13,3.04,75.34,2.17,59.02,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
78,MODERATE,2022-02-01 00:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,7.38,41.87,517.04,70.7,0.99,115.13,23.13,3.04,75.34,2.17,59.02,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
117,MODERATE,2022-02-01 00:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,16.25,39.97,511.74,66.25,0.83,103.28,22.99,3.01,75.15,2.05,59.41,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
121,MODERATE,2022-02-01 00:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,16.25,39.97,511.74,66.25,0.83,103.28,22.99,3.01,75.15,2.05,59.41,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
156,MODERATE,2022-02-01 00:31:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,18.27,39.62,506.47,65.6,0.8,98.73,22.87,2.98,75.34,2.01,59.62,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
159,MODERATE,2022-02-01 00:31:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,109.0,0.0,18.27,39.62,506.47,65.6,0.8,98.73,22.87,2.98,75.34,2.01,59.62,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
194,MODERATE,2022-02-01 00:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,14.14,38.33,505.51,61.63,0.77,101.09,22.7,3.01,75.29,1.9,60.03,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
197,MODERATE,2022-02-01 00:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,14.14,38.33,505.51,61.63,0.77,101.09,22.7,3.01,75.29,1.9,60.03,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
231,MODERATE,2022-02-01 01:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,13.78,36.75,504.78,56.75,0.66,99.81,22.46,2.96,74.99,1.76,60.74,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
232,MODERATE,2022-02-01 01:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,13.78,36.75,504.78,56.75,0.66,99.81,22.46,2.96,74.99,1.76,60.74,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
270,MODERATE,2022-02-01 01:16:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,18.85,32.63,500.95,51.75,0.58,93.82,22.24,2.84,74.38,1.69,61.43,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
273,MODERATE,2022-02-01 01:16:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,18.85,32.63,500.95,51.75,0.58,93.82,22.24,2.84,74.38,1.69,61.43,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
307,MODERATE,2022-02-01 01:31:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,20.74,29.64,498.03,48.96,0.54,91.5,22.09,2.88,73.92,1.61,61.86,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
310,MODERATE,2022-02-01 01:31:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a70a062d-1bc8-ba77-a530-af9b5d4f2145,110.0,0.0,20.74,29.64,498.03,48.96,0.54,91.5,22.09,2.88,73.92,1.61,61.86,0.94,73.876484,18.525007,Sadhu_Wasvani_Square_24
