index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
13,MODERATE,2022-01-31 23:31:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,114.0,0.0,9.9,38.83,0.0,109.47,1.64,74.79,22.92,4.87,57.57,0.0,56.69,0.94,73.869399,18.501306,Seven Loves Square_16
51,MODERATE,2022-01-31 23:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,114.0,0.0,10.39,35.52,0.0,91.83,1.49,73.59,22.66,4.86,57.63,0.0,57.43,0.94,73.869399,18.501306,Seven Loves Square_16
90,MODERATE,2022-02-01 00:01:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,114.0,0.0,10.53,36.63,0.0,98.02,1.27,72.87,22.33,4.81,57.59,0.0,58.44,0.94,73.869399,18.501306,Seven Loves Square_16
125,MODERATE,2022-02-01 00:16:30+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,114.0,0.0,15.23,36.78,0.0,95.76,0.93,67.62,22.01,4.76,57.23,0.0,59.19,0.94,73.869399,18.501306,Seven Loves Square_16
164,MODERATE,2022-02-01 00:31:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,114.0,0.0,19.73,33.47,0.0,73.31,0.78,62.45,21.73,4.76,56.96,0.0,59.92,0.93,73.869399,18.501306,Seven Loves Square_16
204,MODERATE,2022-02-01 00:46:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,112.0,0.0,18.49,31.0,0.0,75.81,0.75,61.69,21.44,4.85,56.99,0.0,60.92,0.93,73.869399,18.501306,Seven Loves Square_16
239,MODERATE,2022-02-01 01:01:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,112.0,0.0,21.25,28.02,0.0,73.28,0.65,59.45,21.18,4.87,56.99,0.0,61.51,0.93,73.869399,18.501306,Seven Loves Square_16
280,MODERATE,2022-02-01 01:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,112.0,0.0,22.62,25.55,0.0,62.0,0.6,57.63,20.93,4.8,56.93,0.0,61.87,0.93,73.869399,18.501306,Seven Loves Square_16
319,MODERATE,2022-02-01 01:31:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,112.0,0.0,19.65,23.32,0.0,53.81,0.61,57.74,20.71,4.75,56.93,0.0,62.62,0.93,73.869399,18.501306,Seven Loves Square_16
355,MODERATE,2022-02-01 01:46:29+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,109.0,0.0,15.53,25.66,0.0,61.37,0.6,59.3,20.58,4.83,56.81,0.0,63.36,0.93,73.869399,18.501306,Seven Loves Square_16
396,MODERATE,2022-02-01 02:01:28+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,109.0,0.0,14.37,25.11,0.0,67.96,0.6,59.62,20.54,4.88,56.79,0.0,63.73,0.93,73.869399,18.501306,Seven Loves Square_16
435,MODERATE,2022-02-01 02:16:27+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,109.0,0.0,18.64,23.01,0.0,59.51,0.56,56.22,20.42,4.79,56.92,0.0,64.27,0.93,73.869399,18.501306,Seven Loves Square_16
460,MODERATE,2022-02-01 02:31:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,109.0,0.0,22.94,21.16,0.0,48.97,0.48,52.26,20.14,4.78,57.07,0.0,65.25,0.93,73.869399,18.501306,Seven Loves Square_16
499,MODERATE,2022-02-01 02:46:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,104.0,0.0,22.52,18.6,0.0,42.9,0.44,51.79,19.82,4.81,57.03,0.0,66.4,0.93,73.869399,18.501306,Seven Loves Square_16
537,MODERATE,2022-02-01 03:01:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,104.0,0.0,21.15,19.25,0.0,42.09,0.48,52.65,19.58,4.81,56.98,0.0,67.27,0.93,73.869399,18.501306,Seven Loves Square_16
576,MODERATE,2022-02-01 03:16:26+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,104.0,0.0,24.01,17.81,0.0,36.97,0.45,49.98,19.36,4.8,56.91,0.0,68.19,0.93,73.869399,18.501306,Seven Loves Square_16
607,MODERATE,2022-02-01 03:31:25+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,104.0,0.0,23.68,17.43,0.0,35.37,0.39,48.81,19.13,4.79,56.92,0.0,69.27,0.93,73.869399,18.501306,Seven Loves Square_16
653,SATISFACTORY,2022-02-01 03:46:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,22.12,17.71,0.0,37.03,0.4,49.1,18.86,4.86,57.05,0.0,70.17,0.93,73.869399,18.501306,Seven Loves Square_16
692,SATISFACTORY,2022-02-01 04:01:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,21.42,17.79,0.0,37.56,0.4,49.17,18.58,4.9,57.06,0.0,70.94,0.93,73.869399,18.501306,Seven Loves Square_16
731,SATISFACTORY,2022-02-01 04:16:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,19.61,17.26,0.0,36.19,0.4,49.73,18.34,4.87,57.09,0.0,71.61,0.93,73.869399,18.501306,Seven Loves Square_16
771,SATISFACTORY,2022-02-01 04:31:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,17.54,14.95,0.0,32.66,0.42,49.71,18.2,4.81,57.08,0.0,71.86,0.93,73.869399,18.501306,Seven Loves Square_16
826,SATISFACTORY,2022-02-01 04:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,14.8,15.73,0.0,35.91,0.45,50.48,18.13,4.85,57.12,0.0,71.68,0.93,73.869399,18.501306,Seven Loves Square_16
860,SATISFACTORY,2022-02-01 05:01:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,14.59,15.5,0.0,35.38,0.44,50.26,18.08,4.92,57.18,0.0,71.51,0.93,73.869399,18.501306,Seven Loves Square_16
894,SATISFACTORY,2022-02-01 05:16:34+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,14.51,13.92,0.0,30.28,0.41,49.37,17.97,4.88,57.3,0.0,72.07,0.93,73.869399,18.501306,Seven Loves Square_16
925,SATISFACTORY,2022-02-01 05:31:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.0,11.21,15.73,0.0,36.49,0.48,50.82,17.85,4.82,57.51,0.0,72.88,0.93,73.869399,18.501306,Seven Loves Square_16
965,SATISFACTORY,2022-02-01 05:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,8.48,17.43,0.0,40.79,0.58,52.21,17.81,4.85,57.7,0.0,72.99,0.93,73.869399,18.501306,Seven Loves Square_16
997,SATISFACTORY,2022-02-01 06:01:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,8.02,19.15,0.0,44.5,0.64,52.71,17.79,4.86,57.83,0.0,72.75,0.93,73.869399,18.501306,Seven Loves Square_16
1032,SATISFACTORY,2022-02-01 06:16:36+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,7.77,20.38,0.0,49.05,0.75,53.01,17.75,4.85,57.94,0.0,72.78,0.93,73.869399,18.501306,Seven Loves Square_16
1066,SATISFACTORY,2022-02-01 06:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,7.38,22.58,0.0,55.31,0.87,53.12,17.67,4.85,57.81,0.0,73.12,0.93,73.869399,18.501306,Seven Loves Square_16
1096,SATISFACTORY,2022-02-01 06:46:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,7.19,26.55,0.0,61.12,0.94,53.05,17.6,6.29,57.81,0.0,73.44,0.93,73.869399,18.501306,Seven Loves Square_16
1133,SATISFACTORY,2022-02-01 07:01:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,6.85,29.32,0.0,66.39,1.01,52.73,17.53,26.67,58.08,0.0,73.62,0.93,73.869399,18.501306,Seven Loves Square_16
1164,SATISFACTORY,2022-02-01 07:16:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,6.56,30.85,0.0,73.87,1.1,53.13,17.45,102.81,58.17,0.0,73.87,0.93,73.869399,18.501306,Seven Loves Square_16
1202,SATISFACTORY,2022-02-01 07:31:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,96.0,0.0,6.93,31.73,0.0,71.04,1.06,52.59,17.4,229.96,58.43,0.0,73.97,0.93,73.869399,18.501306,Seven Loves Square_16
1209,SATISFACTORY,2022-02-01 07:46:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.01,6.99,39.1,0.0,113.78,1.12,53.44,17.46,358.05,58.68,0.0,73.78,0.93,73.869399,18.501306,Seven Loves Square_16
1237,SATISFACTORY,2022-02-01 08:01:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.02,6.61,45.49,0.0,133.24,1.41,56.36,17.65,470.46,58.87,0.0,73.56,0.93,73.869399,18.501306,Seven Loves Square_16
1274,SATISFACTORY,2022-02-01 08:16:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,97.0,0.05,6.71,43.36,0.0,109.39,1.65,58.56,17.97,576.79,58.95,0.0,72.92,0.93,73.869399,18.501306,Seven Loves Square_16
1304,SATISFACTORY,2022-02-01 08:31:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.07,7.06,44.17,0.0,104.14,1.68,60.72,18.43,674.62,59.07,0.0,71.62,0.93,73.869399,18.501306,Seven Loves Square_16
1360,SATISFACTORY,2022-02-01 08:46:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.1,7.25,46.76,0.0,99.16,1.81,63.36,18.97,768.59,59.38,0.0,69.97,0.93,73.869399,18.501306,Seven Loves Square_16
1399,SATISFACTORY,2022-02-01 09:01:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.14,8.37,49.11,0.0,109.46,1.9,64.95,19.58,868.71,59.49,0.0,68.19,0.94,73.869399,18.501306,Seven Loves Square_16
1431,SATISFACTORY,2022-02-01 09:16:31+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.18,13.69,47.81,0.0,102.53,1.54,60.31,20.27,937.39,59.5,0.0,65.12,0.94,73.869399,18.501306,Seven Loves Square_16
1444,SATISFACTORY,2022-02-01 09:31:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.22,15.33,45.73,0.0,103.55,1.79,60.55,21.0,1032.96,59.72,0.0,61.38,0.94,73.869399,18.501306,Seven Loves Square_16
1482,SATISFACTORY,2022-02-01 09:46:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.26,16.81,43.01,0.0,101.69,1.97,58.92,21.8,1174.1,59.97,0.0,57.3,0.94,73.869399,18.501306,Seven Loves Square_16
1514,SATISFACTORY,2022-02-01 10:01:24+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.3,19.22,39.59,0.0,88.42,2.0,54.68,22.62,1299.63,59.84,0.0,53.37,0.94,73.869399,18.501306,Seven Loves Square_16
1548,SATISFACTORY,2022-02-01 10:16:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.35,18.87,46.83,0.0,105.04,2.22,58.59,23.46,1490.23,59.69,0.0,50.7,0.94,73.869399,18.501306,Seven Loves Square_16
1614,SATISFACTORY,2022-02-01 10:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.4,24.12,51.93,0.0,110.53,1.77,56.44,24.28,1724.88,59.52,0.0,47.76,0.94,73.869399,18.501306,Seven Loves Square_16
1650,SATISFACTORY,2022-02-01 10:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.48,29.48,46.13,0.0,99.93,1.31,45.07,25.01,5200.39,59.3,0.0,43.57,0.94,73.869399,18.501306,Seven Loves Square_16
1688,SATISFACTORY,2022-02-01 11:01:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,0.73,33.97,40.2,0.0,93.25,1.33,34.5,25.79,17737.86,59.32,0.0,39.06,0.94,73.869399,18.501306,Seven Loves Square_16
1728,SATISFACTORY,2022-02-01 11:16:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,1.05,36.42,33.75,0.0,87.64,1.36,28.52,26.86,25602.0,59.33,0.0,35.51,0.94,73.869399,18.501306,Seven Loves Square_16
1736,SATISFACTORY,2022-02-01 11:31:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,1.27,35.56,33.71,0.0,94.14,1.33,21.81,28.02,21975.92,59.27,0.0,32.18,0.94,73.869399,18.501306,Seven Loves Square_16
1767,SATISFACTORY,2022-02-01 11:46:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,1.42,32.33,39.17,0.0,97.61,1.62,19.66,28.92,17810.66,59.33,0.0,29.33,0.94,73.869399,18.501306,Seven Loves Square_16
1809,SATISFACTORY,2022-02-01 12:01:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,1.5,33.17,38.26,0.0,94.4,1.64,15.96,29.84,14308.33,59.32,0.0,27.07,0.93,73.869399,18.501306,Seven Loves Square_16
1840,SATISFACTORY,2022-02-01 12:16:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,1.54,38.86,34.95,0.0,87.54,1.42,12.63,30.78,11396.02,59.33,0.0,25.39,0.93,73.869399,18.501306,Seven Loves Square_16
1881,SATISFACTORY,2022-02-01 12:31:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,98.0,1.28,42.45,33.21,0.0,80.02,1.37,14.57,31.53,8938.4,59.26,0.0,24.64,0.93,73.869399,18.501306,Seven Loves Square_16
1940,SATISFACTORY,2022-02-01 12:46:29+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,99.0,0.84,38.16,44.85,0.0,101.4,1.87,21.18,32.15,6895.34,59.37,0.0,23.99,0.93,73.869399,18.501306,Seven Loves Square_16
1976,SATISFACTORY,2022-02-01 13:01:29+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/388977ff-210f-b2f4-19e6-c619669708a2,99.0,0.67,40.45,44.26,0.0,97.33,1.93,24.04,32.58,5463.96,59.62,0.0,23.29,0.93,73.869399,18.501306,Seven Loves Square_16
