index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
21,SATISFACTORY,2022-01-31 23:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.05,0.0,0.07,1.66,106.91,22.1,2.35,85.74,1.46,58.47,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
61,SATISFACTORY,2022-01-31 23:46:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.02,0.0,0.03,1.46,104.97,21.83,2.1,86.02,1.4,60.21,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
94,SATISFACTORY,2022-02-01 00:01:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.0,0.0,0.0,1.22,102.9,21.64,1.97,86.14,1.26,61.17,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
134,SATISFACTORY,2022-02-01 00:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.05,0.0,0.07,1.04,99.53,21.47,1.79,85.48,1.18,61.91,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
175,SATISFACTORY,2022-02-01 00:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.41,0.0,0.52,0.91,96.81,21.32,1.58,85.04,1.11,62.61,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
211,SATISFACTORY,2022-02-01 00:46:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.36,0.0,0.45,0.78,96.77,21.21,1.56,85.04,0.99,63.22,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
247,SATISFACTORY,2022-02-01 01:01:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.03,0.0,0.03,0.72,95.89,21.09,1.54,85.09,0.89,63.94,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
285,SATISFACTORY,2022-02-01 01:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.06,0.0,0.07,0.7,94.61,20.92,1.52,85.32,0.86,64.87,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
326,SATISFACTORY,2022-02-01 01:31:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.03,0.0,0.03,0.67,93.67,20.72,1.38,85.74,0.83,65.73,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
368,SATISFACTORY,2022-02-01 01:46:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.01,0.0,0.01,0.61,91.35,20.58,1.35,86.13,0.77,66.16,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
403,SATISFACTORY,2022-02-01 02:01:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.0,0.0,0.0,0.58,90.06,20.42,1.45,86.22,0.7,66.37,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
442,SATISFACTORY,2022-02-01 02:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.1,0.0,0.13,0.64,90.6,20.2,1.38,85.85,0.76,66.93,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
469,SATISFACTORY,2022-02-01 02:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.21,0.0,0.27,0.78,90.27,19.91,1.33,85.58,1.2,67.91,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
509,SATISFACTORY,2022-02-01 02:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.01,0.0,0.01,0.75,89.96,19.66,1.39,85.49,1.11,68.85,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
541,SATISFACTORY,2022-02-01 03:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.04,0.0,0.04,0.59,88.19,19.43,1.37,85.63,0.7,69.64,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
583,SATISFACTORY,2022-02-01 03:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.15,0.0,0.18,0.53,83.87,19.2,1.26,85.45,0.73,70.36,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
620,SATISFACTORY,2022-02-01 03:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.14,0.0,0.18,0.46,79.36,19.03,1.22,85.25,0.74,70.96,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
661,SATISFACTORY,2022-02-01 03:46:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.03,0.0,0.03,0.44,78.69,18.87,1.26,85.97,0.7,71.56,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
702,SATISFACTORY,2022-02-01 04:01:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.0,0.0,0.0,0.47,79.16,18.71,1.21,86.26,0.65,72.08,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
737,SATISFACTORY,2022-02-01 04:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.0,0.0,0.0,0.44,77.9,18.57,1.17,86.38,0.62,72.24,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
774,SATISFACTORY,2022-02-01 04:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.0,0.0,0.0,0.45,76.91,18.43,1.22,86.45,0.57,72.13,0.93,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
799,SATISFACTORY,2022-02-01 04:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.03,0.0,0.03,0.53,78.58,18.3,1.26,86.42,0.52,72.39,0.93,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
832,SATISFACTORY,2022-02-01 05:01:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.04,0.0,0.04,0.57,80.82,18.18,1.33,86.9,0.49,72.81,0.93,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
865,SATISFACTORY,2022-02-01 05:16:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.06,0.0,0.06,0.56,79.72,18.1,1.47,86.97,0.49,72.95,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
902,SATISFACTORY,2022-02-01 05:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.0,0.0,0.0,0.73,82.66,17.95,1.56,86.5,0.48,73.27,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
932,SATISFACTORY,2022-02-01 05:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.07,0.0,0.09,1.02,85.75,17.68,1.7,86.51,0.5,73.94,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
969,SATISFACTORY,2022-02-01 06:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,98.0,0.0,0.0,0.15,0.0,0.19,1.02,82.72,17.5,1.66,86.74,0.6,74.49,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
1072,SATISFACTORY,2022-02-01 06:46:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,97.0,0.0,0.0,0.04,0.0,0.05,1.06,81.58,17.27,4.96,86.6,0.72,76.19,0.94,73.84992,18.530344,Shimla Office Square (Shivaji Nagar Chowk)_33
