index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
6028,MODERATE,2022-02-02 13:46:32+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,105.0,0.33,110.19,32.83,459.07,72.88,0.52,11.23,34.6,3822.36,58.3,0.0,26.41,0.94,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6071,MODERATE,2022-02-02 14:01:32+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,105.0,0.32,117.75,31.9,463.22,78.61,0.52,11.24,34.99,2877.99,58.3,0.0,26.0,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6116,MODERATE,2022-02-02 14:16:32+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,105.0,0.3,126.4,30.75,464.65,73.78,0.52,11.19,35.48,2338.49,58.3,0.02,25.25,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6160,MODERATE,2022-02-02 14:31:33+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,105.0,0.28,132.51,32.07,467.76,73.35,0.63,12.69,35.87,2124.78,58.29,0.06,24.55,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6165,MODERATE,2022-02-02 14:46:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,125.0,0.27,136.39,29.0,466.01,67.59,0.57,12.69,36.08,2072.3,58.29,0.06,24.28,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6203,MODERATE,2022-02-02 15:01:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,125.0,0.24,145.59,27.33,459.41,65.03,0.43,12.68,35.94,2074.81,58.28,0.01,24.51,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6235,MODERATE,2022-02-02 15:16:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,125.0,0.22,145.34,29.9,454.47,65.88,0.41,16.35,35.81,2073.31,58.29,0.04,24.65,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6272,MODERATE,2022-02-02 15:31:25+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,126.0,0.2,119.75,30.54,452.75,68.18,0.44,17.62,35.87,2037.67,58.3,0.09,24.43,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6323,MODERATE,2022-02-02 15:46:29+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,126.0,0.19,91.96,25.86,454.2,64.49,0.53,15.64,35.65,1870.03,58.29,0.11,24.22,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6358,MODERATE,2022-02-02 16:01:28+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,126.0,0.18,86.64,19.82,451.03,53.07,0.49,15.69,34.77,1562.52,58.29,0.21,25.12,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6398,MODERATE,2022-02-02 16:16:28+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,126.0,0.16,88.97,20.12,447.58,58.29,0.44,21.04,33.55,1270.83,58.31,0.44,27.11,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6438,MODERATE,2022-02-02 16:31:29+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,126.0,0.13,85.96,22.26,449.83,66.2,0.47,27.55,32.79,1058.8,58.34,0.61,28.33,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6484,MODERATE,2022-02-02 16:46:29+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,115.0,0.11,87.31,20.02,446.23,56.15,0.44,31.43,32.35,881.31,58.35,0.66,29.06,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
6519,MODERATE,2022-02-02 17:01:28+05:00,ACTIVE,O3,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/83cdf03d-5787-7052-08aa-143cfbfb807d,115.0,0.09,85.95,24.18,442.38,48.87,0.45,38.0,31.83,756.94,58.37,0.84,30.27,0.93,73.850429,18.531418,Shivaji_Nagar_Railway_Station_34
