index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
13202,SATISFACTORY,2022-02-04 12:46:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,58.0,2.3,58.2,24.29,0.0,58.51,0.53,0.19,28.18,6630.67,73.69,0.74,43.56,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13240,SATISFACTORY,2022-02-04 13:01:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,58.0,2.35,57.01,26.68,0.0,63.7,0.44,0.12,28.39,6902.8,73.13,0.65,43.09,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13284,SATISFACTORY,2022-02-04 13:16:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,58.0,2.34,59.7,29.86,0.0,71.04,0.47,0.01,28.67,6989.32,72.87,0.84,42.38,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13330,SATISFACTORY,2022-02-04 13:31:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,58.0,2.3,59.75,28.99,0.0,67.15,0.57,0.0,29.22,6969.46,72.97,0.84,40.9,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13368,SATISFACTORY,2022-02-04 13:46:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,63.0,2.25,49.68,26.6,0.0,58.49,0.61,0.0,29.92,7250.28,73.0,0.5,38.7,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13415,SATISFACTORY,2022-02-04 14:01:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,63.0,2.17,43.3,26.78,0.0,57.16,0.53,0.0,30.25,7585.19,72.93,0.31,37.09,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13456,SATISFACTORY,2022-02-04 14:16:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,63.0,2.03,55.74,30.85,0.0,69.95,0.6,0.0,30.39,7857.76,72.2,0.87,36.51,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13489,SATISFACTORY,2022-02-04 14:31:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,63.0,1.85,54.36,31.98,0.0,79.75,0.64,0.0,30.71,10850.57,72.16,0.89,36.1,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13537,SATISFACTORY,2022-02-04 14:46:27+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,68.0,1.68,53.31,30.85,0.0,75.98,0.56,1.65,30.96,15517.17,72.75,0.69,35.55,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
13577,SATISFACTORY,2022-02-04 15:01:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/503328c5-a2ac-bfae-fd08-cf2630f51a7b,68.0,1.5,53.94,31.25,0.0,72.09,0.53,1.65,31.07,18839.23,73.01,0.65,34.31,0.93,73.918006,18.5652,Shree Krishna Hotel Square _12
