index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
36,MODERATE,2022-01-31 23:31:32+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,140.0,0.0,39.31,75.27,572.77,132.28,1.07,32.54,21.46,4.83,76.93,0.42,64.14,0.94,73.84607,18.501086,Sinhgad Road Junction_9
70,MODERATE,2022-01-31 23:46:32+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,140.0,0.0,38.95,78.0,573.01,135.79,1.03,29.26,21.22,5.49,75.26,0.29,65.15,0.94,73.84607,18.501086,Sinhgad Road Junction_9
110,MODERATE,2022-02-01 00:01:32+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,140.0,0.0,41.13,75.56,573.19,127.73,1.0,25.99,20.96,5.62,75.27,0.17,66.0,0.94,73.84607,18.501086,Sinhgad Road Junction_9
146,MODERATE,2022-02-01 00:16:35+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,140.0,0.0,46.03,70.2,570.41,116.43,0.9,22.84,20.64,4.75,74.62,0.07,67.01,0.94,73.84607,18.501086,Sinhgad Road Junction_9
186,MODERATE,2022-02-01 00:31:33+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,140.0,0.0,49.49,63.62,565.23,107.97,0.75,20.12,20.34,4.48,72.49,0.0,67.9,0.94,73.84607,18.501086,Sinhgad Road Junction_9
221,MODERATE,2022-02-01 00:46:32+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,139.0,0.0,50.61,58.86,563.96,102.58,0.66,18.1,20.11,4.43,71.44,0.0,68.46,0.94,73.84607,18.501086,Sinhgad Road Junction_9
261,MODERATE,2022-02-01 01:01:32+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,139.0,0.0,54.19,57.64,562.94,99.07,0.62,15.0,19.9,4.4,70.42,0.0,69.16,0.94,73.84607,18.501086,Sinhgad Road Junction_9
301,MODERATE,2022-02-01 01:16:32+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,139.0,0.0,54.45,58.79,560.93,94.91,0.57,15.06,19.66,4.4,70.25,0.0,70.01,0.94,73.84607,18.501086,Sinhgad Road Junction_9
338,MODERATE,2022-02-01 01:31:34+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,139.0,0.0,51.78,58.65,561.04,92.74,0.57,17.49,19.44,4.41,73.38,0.0,70.59,0.94,73.84607,18.501086,Sinhgad Road Junction_9
376,MODERATE,2022-02-01 01:46:36+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/a1198ebc-db62-1c31-28c6-09d51441f153,139.0,0.0,52.07,57.46,558.35,89.94,0.62,16.33,19.25,4.33,73.91,0.0,71.0,0.94,73.84607,18.501086,Sinhgad Road Junction_9
