index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
193,SATISFACTORY,2022-02-01 00:46:25+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,50.24,31.04,405.05,56.09,0.52,59.68,20.09,0.05,61.64,2.11,67.53,0.94,73.835826,18.500009,Sudhanshu society_36
236,SATISFACTORY,2022-02-01 01:01:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,52.95,25.93,404.06,49.53,0.47,58.37,19.89,0.05,61.96,1.9,68.35,0.94,73.835826,18.500009,Sudhanshu society_36
271,SATISFACTORY,2022-02-01 01:16:26+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,55.94,20.28,404.44,44.62,0.43,57.43,19.79,0.05,62.4,1.86,68.59,0.94,73.835826,18.500009,Sudhanshu society_36
489,SATISFACTORY,2022-02-01 02:31:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,47.44,24.8,389.25,44.05,0.32,53.18,18.6,0.05,61.46,1.58,72.01,0.93,73.835826,18.500009,Sudhanshu society_36
524,SATISFACTORY,2022-02-01 02:46:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,45.91,23.98,387.27,40.44,0.31,53.0,18.46,0.05,61.23,1.5,72.71,0.93,73.835826,18.500009,Sudhanshu society_36
562,SATISFACTORY,2022-02-01 03:01:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,43.49,26.1,382.63,42.68,0.32,52.57,18.23,0.05,61.01,1.48,73.82,0.93,73.835826,18.500009,Sudhanshu society_36
598,SATISFACTORY,2022-02-01 03:16:33+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,41.01,32.09,378.48,48.52,0.33,51.92,18.07,0.05,60.95,1.52,74.4,0.93,73.835826,18.500009,Sudhanshu society_36
637,SATISFACTORY,2022-02-01 03:31:32+05:00,ACTIVE,PM10,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,65.0,0.0,40.26,28.4,377.61,38.61,0.31,51.94,17.9,0.05,60.9,1.45,74.75,0.93,73.835826,18.500009,Sudhanshu society_36
821,SATISFACTORY,2022-02-01 04:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,63.0,0.0,39.04,19.55,357.65,32.51,0.27,49.6,16.96,0.05,61.31,1.1,77.62,0.93,73.835826,18.500009,Sudhanshu society_36
855,SATISFACTORY,2022-02-01 05:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,63.0,0.0,37.39,18.17,350.36,30.49,0.26,49.37,16.75,0.05,61.3,1.06,78.37,0.93,73.835826,18.500009,Sudhanshu society_36
889,SATISFACTORY,2022-02-01 05:16:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,63.0,0.0,38.47,18.67,348.19,31.54,0.26,48.98,16.64,0.05,61.42,1.08,78.18,0.93,73.835826,18.500009,Sudhanshu society_36
926,SATISFACTORY,2022-02-01 05:31:33+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,63.0,0.0,38.34,19.06,349.1,31.36,0.27,48.5,16.54,0.05,61.52,1.07,78.17,0.93,73.835826,18.500009,Sudhanshu society_36
953,SATISFACTORY,2022-02-01 05:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,63.0,0.0,36.38,22.35,350.63,35.69,0.29,48.11,16.46,0.05,61.73,1.1,78.43,0.93,73.835826,18.500009,Sudhanshu society_36
991,SATISFACTORY,2022-02-01 06:01:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,63.0,0.0,34.84,23.89,352.11,38.19,0.3,48.19,16.39,0.05,62.09,1.1,78.78,0.93,73.835826,18.500009,Sudhanshu society_36
1026,SATISFACTORY,2022-02-01 06:16:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3c4ebd7e-00e2-3881-ca79-281a1ba5bc22,63.0,0.0,32.03,24.91,351.14,40.07,0.31,48.4,16.28,0.06,62.31,1.05,79.21,0.93,73.835826,18.500009,Sudhanshu society_36
