index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2,SATISFACTORY,2022-01-31 23:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,14.09,32.27,424.46,76.27,1.32,85.96,21.65,24.61,71.48,0.24,55.42,0.93,73.75385,18.553421,Susgaon_46
42,SATISFACTORY,2022-01-31 23:46:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,16.83,29.89,419.89,69.22,0.98,80.19,21.33,24.62,71.32,0.0,56.23,0.93,73.75385,18.553421,Susgaon_46
79,SATISFACTORY,2022-02-01 00:01:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,12.68,28.64,422.09,63.3,0.94,80.65,21.0,24.49,71.34,0.0,57.04,0.93,73.75385,18.553421,Susgaon_46
115,SATISFACTORY,2022-02-01 00:16:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,9.62,23.41,421.99,49.06,0.92,79.85,20.61,24.29,69.97,0.0,57.91,0.93,73.75385,18.553421,Susgaon_46
153,SATISFACTORY,2022-02-01 00:31:25+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,12.02,21.39,418.7,41.76,0.77,74.9,20.24,24.25,68.83,0.0,58.62,0.93,73.75385,18.553421,Susgaon_46
206,SATISFACTORY,2022-02-01 00:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,8.48,24.42,426.06,50.24,0.84,75.65,19.9,24.27,69.17,0.46,59.37,0.93,73.75385,18.553421,Susgaon_46
238,SATISFACTORY,2022-02-01 01:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,10.4,22.1,424.88,44.51,0.78,72.45,19.45,24.26,68.06,0.46,60.25,0.93,73.75385,18.553421,Susgaon_46
283,SATISFACTORY,2022-02-01 01:16:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,15.77,18.26,413.75,32.73,0.54,65.57,18.96,24.17,66.75,0.0,60.79,0.93,73.75385,18.553421,Susgaon_46
339,SATISFACTORY,2022-02-01 01:31:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,16.15,15.89,408.89,28.46,0.43,63.04,18.53,24.08,65.89,0.0,61.31,0.93,73.75385,18.553421,Susgaon_46
377,SATISFACTORY,2022-02-01 01:46:38+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,81.0,0.0,14.67,15.51,408.1,26.6,0.39,62.22,18.18,24.03,64.77,0.0,62.33,0.93,73.75385,18.553421,Susgaon_46
