index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
20,SATISFACTORY,2022-01-31 23:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,8.16,306.71,10.25,1.15,91.45,20.22,3.44,68.47,0.0,60.47,0.93,73.830386,18.520432,VS_Khandekar_Square_17
56,SATISFACTORY,2022-01-31 23:46:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,68.0,0.0,0.0,8.63,308.34,10.9,1.15,89.25,19.89,3.39,68.08,0.0,62.51,0.93,73.830386,18.520432,VS_Khandekar_Square_17
96,SATISFACTORY,2022-02-01 00:01:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,68.0,0.0,0.47,13.97,304.43,17.6,1.02,84.41,19.68,3.26,68.08,0.0,64.42,0.93,73.830386,18.520432,VS_Khandekar_Square_17
131,SATISFACTORY,2022-02-01 00:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,68.0,0.0,0.79,18.27,298.29,22.86,0.88,77.23,19.69,3.21,68.23,0.0,65.55,0.93,73.830386,18.520432,VS_Khandekar_Square_17
170,SATISFACTORY,2022-02-01 00:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,68.0,0.0,1.17,15.81,294.24,19.85,0.72,75.06,19.75,3.24,68.37,0.0,66.61,0.93,73.830386,18.520432,VS_Khandekar_Square_17
213,SATISFACTORY,2022-02-01 00:46:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,3.52,10.54,284.78,12.73,0.57,71.28,19.8,3.21,68.25,0.0,67.42,0.93,73.830386,18.520432,VS_Khandekar_Square_17
258,SATISFACTORY,2022-02-01 01:01:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,8.77,7.32,273.84,8.69,0.48,64.43,19.74,3.19,68.0,0.0,67.96,0.93,73.830386,18.520432,VS_Khandekar_Square_17
294,SATISFACTORY,2022-02-01 01:16:31+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,8.32,7.72,269.47,9.78,0.49,64.98,19.59,3.16,67.85,0.0,68.28,0.93,73.830386,18.520432,VS_Khandekar_Square_17
341,SATISFACTORY,2022-02-01 01:31:42+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,5.85,7.53,267.5,9.46,0.49,64.77,19.4,3.11,67.57,0.0,68.62,0.93,73.830386,18.520432,VS_Khandekar_Square_17
379,SATISFACTORY,2022-02-01 01:46:41+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,5.02,7.14,264.55,8.97,0.47,61.76,19.26,3.09,67.46,0.0,69.04,0.93,73.830386,18.520432,VS_Khandekar_Square_17
418,SATISFACTORY,2022-02-01 02:01:38+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,6.72,6.9,259.81,8.77,0.45,59.38,19.1,3.08,67.73,0.0,69.43,0.93,73.830386,18.520432,VS_Khandekar_Square_17
455,SATISFACTORY,2022-02-01 02:16:37+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,10.85,7.04,249.52,9.01,0.42,56.16,18.79,3.08,67.96,0.0,70.03,0.93,73.830386,18.520432,VS_Khandekar_Square_17
475,SATISFACTORY,2022-02-01 02:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,7.98,7.41,235.96,9.21,0.44,57.43,18.41,3.09,67.88,0.0,70.76,0.93,73.830386,18.520432,VS_Khandekar_Square_17
510,SATISFACTORY,2022-02-01 02:46:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,7.59,7.22,221.45,8.9,0.42,56.97,18.04,3.1,67.94,0.0,71.52,0.93,73.830386,18.520432,VS_Khandekar_Square_17
552,SATISFACTORY,2022-02-01 03:01:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,8.01,7.2,202.12,9.04,0.36,54.72,17.75,3.06,68.07,0.0,72.31,0.93,73.830386,18.520432,VS_Khandekar_Square_17
589,SATISFACTORY,2022-02-01 03:16:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,3.42,6.77,186.01,8.21,0.35,56.29,17.4,3.07,67.96,0.0,73.63,0.93,73.830386,18.520432,VS_Khandekar_Square_17
623,SATISFACTORY,2022-02-01 03:31:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.99,6.29,181.8,7.6,0.33,57.31,17.08,3.11,67.71,0.0,74.94,0.93,73.830386,18.520432,VS_Khandekar_Square_17
678,SATISFACTORY,2022-02-01 03:46:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.49,5.89,180.33,7.43,0.35,58.37,16.91,3.09,67.61,0.0,75.53,0.93,73.830386,18.520432,VS_Khandekar_Square_17
717,SATISFACTORY,2022-02-01 04:01:37+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.24,4.85,173.17,6.12,0.36,58.34,16.68,3.08,67.58,0.0,76.21,0.93,73.830386,18.520432,VS_Khandekar_Square_17
755,SATISFACTORY,2022-02-01 04:16:37+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,2.19,4.15,170.9,5.21,0.33,57.29,16.47,3.11,67.6,0.0,77.02,0.93,73.830386,18.520432,VS_Khandekar_Square_17
793,SATISFACTORY,2022-02-01 04:31:39+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,9.95,4.83,177.27,6.07,0.29,56.87,16.42,3.19,67.67,0.0,77.52,0.93,73.830386,18.520432,VS_Khandekar_Square_17
808,SATISFACTORY,2022-02-01 04:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,12.79,4.99,182.22,6.0,0.26,52.51,16.56,3.18,67.69,0.0,77.38,0.93,73.830386,18.520432,VS_Khandekar_Square_17
838,SATISFACTORY,2022-02-01 05:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,6.63,4.48,178.6,5.38,0.28,50.84,16.63,3.13,67.73,0.0,76.99,0.93,73.830386,18.520432,VS_Khandekar_Square_17
874,SATISFACTORY,2022-02-01 05:16:29+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,1.84,3.74,167.34,4.72,0.33,53.88,16.36,3.15,67.76,0.0,77.41,0.93,73.830386,18.520432,VS_Khandekar_Square_17
904,SATISFACTORY,2022-02-01 05:31:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.88,4.39,156.76,5.54,0.37,55.48,15.97,3.18,67.72,0.0,78.14,0.93,73.830386,18.520432,VS_Khandekar_Square_17
944,SATISFACTORY,2022-02-01 05:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.82,4.34,158.65,5.49,0.41,60.58,15.66,3.28,67.5,0.0,78.4,0.93,73.830386,18.520432,VS_Khandekar_Square_17
975,SATISFACTORY,2022-02-01 06:01:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,2.85,166.3,3.28,0.51,66.36,15.43,3.39,67.49,0.0,78.53,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1012,SATISFACTORY,2022-02-01 06:16:30+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,3.37,163.92,3.93,0.58,68.21,15.24,3.4,67.53,0.0,79.19,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1039,SATISFACTORY,2022-02-01 06:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,3.42,159.74,4.31,0.52,64.6,15.17,3.41,67.38,0.0,79.97,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1079,SATISFACTORY,2022-02-01 06:46:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,3.41,165.14,4.29,0.64,63.29,15.19,11.0,67.5,0.0,80.5,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1110,SATISFACTORY,2022-02-01 07:01:28+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,3.33,163.47,4.2,0.6,61.69,15.21,64.4,67.69,0.0,80.84,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1142,SATISFACTORY,2022-02-01 07:16:26+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,3.91,161.55,4.93,0.5,57.15,15.21,306.78,67.71,0.05,80.85,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1175,SATISFACTORY,2022-02-01 07:31:27+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,67.0,0.0,0.0,5.84,167.78,7.27,0.67,60.38,15.11,687.03,67.74,0.05,81.07,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1233,SATISFACTORY,2022-02-01 07:46:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,66.0,0.02,0.0,6.46,175.64,8.03,0.76,66.81,15.28,1204.62,67.76,0.0,81.16,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1266,SATISFACTORY,2022-02-01 08:01:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,66.0,0.04,0.14,6.62,202.62,8.33,0.83,70.0,16.06,1747.58,67.71,0.0,79.44,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1298,SATISFACTORY,2022-02-01 08:16:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,66.0,0.08,0.14,7.49,226.18,9.42,0.94,69.32,17.77,2252.1,67.91,0.0,74.25,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1331,SATISFACTORY,2022-02-01 08:31:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,63.0,0.13,0.05,10.36,233.0,13.26,1.06,68.74,19.47,2691.12,68.22,0.01,68.8,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1366,SATISFACTORY,2022-02-01 08:46:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,63.0,0.19,0.24,12.7,242.87,16.19,1.24,67.33,20.25,3044.01,68.52,0.02,66.1,0.93,73.830386,18.520432,VS_Khandekar_Square_17
1402,SATISFACTORY,2022-02-01 09:01:37+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b075ef08-a5cc-e920-6be3-f57e5b7731c5,63.0,0.27,1.71,12.67,252.12,15.92,1.33,64.22,20.88,3576.99,68.86,0.06,64.12,0.94,73.830386,18.520432,VS_Khandekar_Square_17
