index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
2244,POOR,2022-02-01 14:31:40+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,297.0,0.32,127.92,16.64,243.8,65.77,1.26,34.84,32.31,3174.88,73.57,3.32,24.98,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2280,VERY_POOR,2022-02-01 14:46:41+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,304.0,0.31,128.02,24.61,241.39,63.91,1.08,38.48,32.2,3122.89,73.87,3.51,23.56,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2316,VERY_POOR,2022-02-01 15:01:38+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,304.0,0.29,129.07,36.15,238.93,71.86,1.03,43.65,32.2,3004.48,73.97,4.09,22.65,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2352,VERY_POOR,2022-02-01 15:16:39+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,304.0,0.27,137.64,100.04,237.09,84.72,0.99,43.61,32.48,2919.43,73.94,4.55,22.99,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2388,VERY_POOR,2022-02-01 15:31:39+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,310.0,0.25,142.04,136.29,234.76,141.67,0.94,46.1,32.98,2840.39,73.92,4.63,22.32,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2430,VERY_POOR,2022-02-01 15:46:33+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,310.0,0.22,141.05,75.22,233.83,138.01,1.04,45.76,33.14,2709.14,73.71,4.62,22.49,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2472,VERY_POOR,2022-02-01 16:01:34+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,310.0,0.18,137.0,38.69,234.12,91.03,1.01,46.85,33.01,2641.42,73.45,4.54,22.69,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2514,VERY_POOR,2022-02-01 16:16:35+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,310.0,0.16,129.51,37.62,237.49,88.91,0.92,44.14,33.52,2568.19,73.41,4.31,21.91,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2554,VERY_POOR,2022-02-01 16:31:33+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,310.0,0.14,121.02,36.39,240.59,84.35,1.3,40.76,33.96,2421.92,73.58,4.27,21.57,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
2592,VERY_POOR,2022-02-01 16:46:33+05:00,ACTIVE,PM2.5,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,307.0,0.11,112.66,44.12,243.9,101.84,2.33,51.89,33.65,2258.52,73.63,4.55,21.96,0.93,73.911371,18.558336,Vadgaon_Sheri_Square_44
