index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
34,SATISFACTORY,2022-01-31 23:31:32+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,73.0,0.0,0.0,37.46,157.01,88.78,1.9,110.29,22.47,1.76,84.5,5.4,57.87,0.94,73.878518,18.572404,Vishrantwadi junction_6
2245,SATISFACTORY,2022-02-01 14:31:42+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,79.0,0.52,52.75,11.46,130.01,29.56,0.73,6.75,35.75,6088.57,77.61,0.89,20.41,0.93,73.878518,18.572404,Vishrantwadi junction_6
2281,SATISFACTORY,2022-02-01 14:46:42+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.28,54.9,13.35,129.31,35.73,0.74,6.84,36.34,6327.99,78.68,1.04,20.09,0.93,73.878518,18.572404,Vishrantwadi junction_6
2317,SATISFACTORY,2022-02-01 15:01:40+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.3,55.62,17.81,128.66,40.05,0.71,6.74,36.72,6827.61,78.69,1.08,19.67,0.93,73.878518,18.572404,Vishrantwadi junction_6
2353,SATISFACTORY,2022-02-01 15:16:41+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.3,49.09,18.42,126.8,37.18,0.83,11.73,36.23,7099.2,79.25,1.43,19.82,0.93,73.878518,18.572404,Vishrantwadi junction_6
2389,SATISFACTORY,2022-02-01 15:31:40+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.3,40.12,16.68,125.36,36.1,0.94,18.27,36.7,7085.87,79.29,1.88,19.56,0.93,73.878518,18.572404,Vishrantwadi junction_6
2431,SATISFACTORY,2022-02-01 15:46:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.34,36.75,15.66,125.89,41.78,0.97,19.32,38.05,7053.75,78.58,2.04,18.39,0.93,73.878518,18.572404,Vishrantwadi junction_6
2473,SATISFACTORY,2022-02-01 16:01:36+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.33,37.94,14.1,124.64,38.66,0.92,14.84,38.15,6912.1,79.53,2.03,17.39,0.93,73.878518,18.572404,Vishrantwadi junction_6
2515,SATISFACTORY,2022-02-01 16:16:37+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.27,36.04,14.55,130.45,36.34,0.95,20.48,36.74,6493.63,79.06,2.63,18.4,0.93,73.878518,18.572404,Vishrantwadi junction_6
2556,SATISFACTORY,2022-02-01 16:31:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.19,31.3,16.58,149.86,42.54,1.06,31.33,36.66,5758.21,77.78,3.39,19.71,0.93,73.878518,18.572404,Vishrantwadi junction_6
2595,SATISFACTORY,2022-02-01 16:46:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.13,21.87,19.1,146.85,46.03,1.19,42.75,37.0,4087.64,77.1,3.69,20.25,0.93,73.878518,18.572404,Vishrantwadi junction_6
2638,SATISFACTORY,2022-02-01 17:01:35+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.08,10.2,23.41,139.43,51.94,1.69,60.42,35.8,2015.02,76.97,4.89,21.75,0.93,73.878518,18.572404,Vishrantwadi junction_6
2679,SATISFACTORY,2022-02-01 17:16:34+05:00,ACTIVE,NO2,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,72.0,0.05,7.38,37.06,147.45,69.13,2.14,70.38,34.65,1015.87,77.34,6.06,22.76,0.93,73.878518,18.572404,Vishrantwadi junction_6
