index,airQualityLevel,observationDateTime,deviceStatus,aqiMajorPollutant,id,airQualityIndex,uv.avgOverTime,o3.avgOverTime,pm2p5.avgOverTime,co2.avgOverTime,pm10.avgOverTime,co.avgOverTime,no2.avgOverTime,airTemperature.avgOverTime,illuminance.avgOverTime,ambientNoise.avgOverTime,so2.avgOverTime,relativeHumidity.avgOverTime,atmosphericPressure.avgOverTime,latitude,longitude,label
37,SATISFACTORY,2022-01-31 23:31:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,99.0,0.0,3.57,19.17,0.0,36.93,0.82,82.59,20.88,2.21,77.28,0.0,64.47,0.94,73.805765,18.480309,Warje_Square_21
75,SATISFACTORY,2022-01-31 23:46:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,99.0,0.0,6.41,15.7,0.0,30.96,0.75,77.87,20.53,2.2,76.64,0.0,65.85,0.94,73.805765,18.480309,Warje_Square_21
113,SATISFACTORY,2022-02-01 00:01:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,99.0,0.0,12.16,13.93,0.0,27.0,0.67,71.65,20.18,2.07,76.2,0.0,67.48,0.94,73.805765,18.480309,Warje_Square_21
151,SATISFACTORY,2022-02-01 00:16:37+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,99.0,0.0,14.36,13.55,0.0,26.13,0.57,68.51,19.87,2.07,75.91,0.0,68.77,0.94,73.805765,18.480309,Warje_Square_21
189,SATISFACTORY,2022-02-01 00:31:35+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,99.0,0.0,15.87,12.79,0.0,25.39,0.55,67.92,19.59,2.04,75.48,0.0,69.54,0.94,73.805765,18.480309,Warje_Square_21
228,SATISFACTORY,2022-02-01 00:46:35+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,97.0,0.0,17.43,10.87,0.0,19.52,0.5,65.39,19.26,1.88,74.22,0.0,70.64,0.94,73.805765,18.480309,Warje_Square_21
267,SATISFACTORY,2022-02-01 01:01:36+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,97.0,0.0,16.05,11.6,0.0,22.83,0.44,62.99,18.96,1.51,73.27,0.0,71.78,0.94,73.805765,18.480309,Warje_Square_21
306,SATISFACTORY,2022-02-01 01:16:36+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,97.0,0.0,18.05,12.15,0.0,24.7,0.43,60.27,18.72,1.42,72.51,0.0,72.54,0.94,73.805765,18.480309,Warje_Square_21
344,SATISFACTORY,2022-02-01 01:31:47+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,97.0,0.0,17.54,11.51,0.0,21.17,0.42,60.65,18.42,1.71,71.61,0.0,73.41,0.94,73.805765,18.480309,Warje_Square_21
382,SATISFACTORY,2022-02-01 01:46:46+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,90.0,0.0,16.18,11.12,0.0,18.35,0.4,60.84,18.13,1.55,70.76,0.0,74.36,0.94,73.805765,18.480309,Warje_Square_21
420,SATISFACTORY,2022-02-01 02:01:43+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,90.0,0.0,18.05,9.71,0.0,15.22,0.37,56.98,17.92,1.49,70.31,0.0,75.34,0.94,73.805765,18.480309,Warje_Square_21
458,SATISFACTORY,2022-02-01 02:16:42+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,90.0,0.0,18.46,8.96,0.0,14.65,0.35,54.94,17.78,1.67,70.8,0.0,76.38,0.94,73.805765,18.480309,Warje_Square_21
495,SATISFACTORY,2022-02-01 02:31:35+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,90.0,0.0,20.51,9.33,0.0,15.32,0.36,54.1,17.6,1.69,70.07,0.0,77.04,0.94,73.805765,18.480309,Warje_Square_21
532,SATISFACTORY,2022-02-01 02:46:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,70.0,0.0,20.04,8.96,0.0,15.02,0.38,54.26,17.35,1.66,69.16,0.0,77.38,0.94,73.805765,18.480309,Warje_Square_21
569,SATISFACTORY,2022-02-01 03:01:34+05:00,ACTIVE,CO,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/ae767590-445c-4079-14a6-6a954239d7c7,70.0,0.0,16.58,9.46,0.0,16.33,0.37,56.22,17.16,1.69,70.52,0.0,77.78,0.94,73.805765,18.480309,Warje_Square_21
